TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
yjbB,yjbB,DNA-binding transcriptional dual regulator Nac,nac,b4020,ECK4012,yjbBp
mutY-yggX,"yggX,mutY",DNA-binding transcriptional dual regulator Lrp,lrp,"b2962,b2961","ECK2957,ECK2956",mutYp2
eda,eda,"DNA-binding transcriptional repressor KdgR,DNA-binding transcriptional repressor PlaR","kdgR,plaR",b1850,ECK1851,edap1
rluE-nudJ,"rluE,nudJ",DNA-binding transcriptional dual regulator Nac,nac,"b1135,b1134","ECK1121,ECK1120",
acrB,acrB,,,b0462,ECK0456,acrBp
tsaD,tsaD,,,b3064,ECK3054,
ycaC,ycaC,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional activator BaeR-phosphorylated","nac,fnr,baeR",b0897,ECK0888,
cysZ,cysZ,,,b2413,ECK2408,
yabI,yabI,,,b0065,ECK0066,yabIp
tyrB,tyrB,DNA-binding transcriptional repressor TyrR-L-tyrosine,tyrR,b4054,ECK4046,tyrBp
ivbL,ivbL,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b3672,ECK3663,ivbLp
yejG,yejG,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator ArcA-phosphorylated","nac,arcA",b2181,ECK2175,yejGp1
serB-radA,"radA,serB",DNA-binding transcriptional dual regulator Lrp,lrp,"b4389,b4388","ECK4381,ECK4380",serBp
mdtL,mdtL,DNA-binding transcriptional activator ZraR-phosphorylated,zraR,b3710,ECK3703,
ycjMNOPQRSTUV-ymjB-ompG,"ompG,ymjB,ycjV,ycjU,ycjT,ycjS,ycjR,ycjQ,ycjP,ycjO,ycjN,ycjM","DNA-binding transcriptional repressor YcjW,DNA-binding transcriptional repressor GlaR","ycjW,glaR","b1319,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309","ECK1315,ECK1314,ECK1313,ECK1312,ECK1311,ECK1310,ECK1309,ECK1308,ECK1307,ECK1306,ECK1305,ECK1304",
glnB,glnB,,,b2553,ECK2550,glnBp3
ykgL,ykgL,DNA-binding transcriptional dual regulator Nac,nac,b0295,ECK0294,
xerD-dsbC-recJ,"recJ,dsbC,xerD",,,"b2892,b2893,b2894","ECK2887,ECK2888,ECK2889",xerDp
ratA-yfjF,"ratA,yfjF",,,"b2619,b2618","ECK2615,ECK2614",
mpaA,mpaA,DNA-binding transcriptional repressor PgrR,pgrR,b1326,ECK1322,
cysPUWAM,"cysM,cysA,cysW,cysU,cysP","DNA-binding transcriptional dual regulator H-NS,CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator","hns,cysB","b2421,b2422,b2423,b2424,b2425","ECK2416,ECK2417,ECK2418,ECK2419,ECK2420",cysPp
yicR-rpmBG-mutM,"mutM,rpmG,rpmB,yicR","RNA polymerase sigma factor RpoN,DNA-binding transcriptional dual regulator YfeC","rpoN,yfeC","b3635,b3636,b3637,b3638","ECK3625,ECK3626,ECK3627,ECK3628",yicRp
yiiR,yiiR,,,b3921,ECK3913,
dinI,dinI,"DNA-binding transcriptional dual regulator NagC,DNA-binding transcriptional repressor LexA","nagC,lexA",b1061,ECK1046,dinIp
putP,putP,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b1015,ECK1006,putPp2
yaiZ,yaiZ,DNA-binding transcriptional dual regulator Nac,nac,b0380,ECK0375,yaiZp
miaA-hfq-hflXKC,"hflC,hflK,hflX,hfq,miaA",DNA-binding transcriptional dual regulator Nac,nac,"b4175,b4174,b4173,b4172,b4171","ECK4171,ECK4170,ECK4169,ECK4168,ECK4167",miaAp1
yfdRST,"yfdT,yfdS,yfdR",,,"b2363,b2362,b2361","ECK2357,ECK2356,ECK2355",
yjtD,yjtD,,,b4403,ECK4395,
uvrD,uvrD,DNA-binding transcriptional repressor LexA,lexA,b3813,ECK3808,uvrDp1
thrL,thrL,DNA-binding transcriptional dual regulator Lrp,lrp,b0001,ECK0001,thrLp
dusC,dusC,,,b2140,ECK2133,dusCp
bcp,bcp,,,b2480,ECK2476,bcpp
selC,selC,DNA-binding transcriptional dual regulator Nac,nac,b3658,ECK3648,selCp
yciCB,"yciC,yciB",,,"b1255,b1254","ECK1249,ECK1248",yciCp
soxR,soxR,"DNA-binding transcriptional repressor AcrR,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator SoxR","acrR,fur,fnr,soxR",b4063,ECK4055,soxRp
yjfY,yjfY,DNA-binding transcriptional repressor GlaR,glaR,b4199,ECK4195,
ribE-nusB-thiL-pgpA,"pgpA,thiL,nusB,ribE","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","nac,lrp","b0418,b0417,b0416,b0415","ECK0412,ECK0411,ECK0410,ECK0409",ribEp
glmY,glmY,"DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional activator GlrR-phosphorylated","ihfA,ihfB,glrR",b4441,ECK2554,glmYp1
nhaAR,"nhaR,nhaA",,,"b0020,b0019","ECK0021,ECK0020",nhaAp2
fucPIKUR,"fucP,fucI,fucK,fucU,fucR","FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fucR,crp","b2801,b2802,b2803,b2804,b2805","ECK2796,ECK2797,ECK2798,ECK2799,ECK2800",fucPp
usg-truA-dedA,"dedA,truA,usg",DNA-binding transcriptional dual regulator Lrp,lrp,"b2317,b2318,b2319","ECK2311,ECK2312,ECK2313",usgp
yihPO,"yihP,yihO",DNA-binding transcriptional dual regulator Nac,nac,"b3877,b3876","ECK3870,ECK3869",
torS,torS,,,b0993,ECK0984,
alaWX,"alaX,alaW",DNA-binding transcriptional dual regulator Fis,fis,"b2396,b2397","ECK2390,ECK2391",alaWp
yaaI,yaaI,,,b0013,ECK0013,
rutR,rutR,DNA-binding transcriptional dual regulator RutR,rutR,b1013,ECK1004,rutRp2
yfcG,yfcG,,,b2302,ECK2296,
sdiA,sdiA,,,b1916,ECK1915,sdiAp3
purC,purC,DNA-binding transcriptional repressor PurR-hypoxanthine,purR,b2476,ECK2472,purCp
dapB,dapB,"DNA-binding transcriptional dual regulator ArgP,DNA-binding transcriptional dual regulator Nac","argP,nac",b0031,ECK0032,dapBp1
yehDCBA,"yehD,yehC,yehB,yehA",DNA-binding transcriptional repressor GlaR,glaR,"b2111,b2110,b2109,b2108","ECK2104,ECK2103,ECK2102,ECK2101",
dsbB,dsbB,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b1185,ECK1173,
yibIH,"yibI,yibH",,,"b3598,b3597","ECK3587,ECK3586",
yidL,yidL,RcsB-BglJ DNA-binding transcriptional activator,"bglJ,rcsB",b3680,ECK3671,yidLp
upp-uraA,"uraA,upp","DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Lrp","fnr,lrp","b2497,b2498","ECK2493,ECK2494",uppp
yfgHI,"yfgI,yfgH",DNA-binding transcriptional dual regulator Nac,nac,"b2506,b2505","ECK2502,ECK2501",
gadXW,"gadW,gadX","DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional dual regulator GadX,DNA-binding transcriptional dual regulator RutR,DNA-binding transcriptional dual regulator GadW,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional activator GadE,DNA-binding transcriptional activator ZraR-phosphorylated,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator TorR-phosphorylated,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","phoB,gadX,rutR,gadW,hns,fnr,gadE,zraR,lrp,torR,nac,glaR","b3515,b3516","ECK3499,ECK3501",gadXp
asnA,asnA,"DNA-binding transcriptional dual regulator AsnC,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","asnC,lrp,nac",b3744,ECK3738,asnAp
tufA,tufA,,,b3339,ECK3326,tufAp2
yfbO,yfbO,DNA-binding transcriptional repressor GlaR,glaR,b2274,ECK2268,
gntP,gntP,"DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional repressor UxuR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","oxyR,uxuR,crp",b4321,ECK4312,gntPp
rhtC,rhtC,,,b3823,ECK3817,
elfDCG-ycbUVF,"ycbF,ycbV,ycbU,elfG,elfC,elfD","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR","b0944,b0943,b0942,b0941,b0940,b0939","ECK0935,ECK0934,ECK0933,ECK0932,ECK0931,ECK0930",
asnU,asnU,,,b1986,ECK1981,asnUp
ryjA,ryjA,,,b4459,ECK4056,ryjAp
ubiX,ubiX,,,b2311,ECK2305,ubiXp
malPQ,"malQ,malP","DNA-binding transcriptional activator MalT-maltotriose-ATP,DNA-binding transcriptional dual regulator FNR","malT,fnr","b3416,b3417","ECK3403,ECK3404",malPp
yghF,yghF,,,b2970,ECK2965,yghFp
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,"wcaC,wcaD,wcaE,wcaF,gmd,fcl,gmm,wcaI,cpsB,cpsG,wcaJ,wzxC",DNA-binding transcriptional dual regulator Nac,nac,"b2057,b2056,b2055,b2054,b2053,b2052,b2051,b2050,b2049,b2048,b2047,b2046","ECK2051,ECK2050,ECK2049,ECK2048,ECK2047,ECK2046,ECK2045,ECK2044,ECK2043,ECK2042,ECK2041,ECK2040",
ugpBAECQ,"ugpQ,ugpC,ugpE,ugpA,ugpB",DNA-binding transcriptional dual regulator PhoB-phosphorylated,phoB,"b3449,b3450,b3451,b3452,b3453","ECK3433,ECK3434,ECK3435,ECK3436,ECK3437",ugpBp1
eptB,eptB,DNA-binding transcriptional dual regulator Lrp,lrp,b3546,ECK3533,eptBp
mcrA,mcrA,,,b1159,ECK1145,
hscBA-fdx-iscX,"iscX,fdx,hscA,hscB",,,"b2524,b2525,b2526,b2527","ECK2521,ECK2522,ECK2523,ECK2524",hscBp
yhgE,yhgE,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b3402,ECK3389,
pdeL,pdeL,"DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Nac","pdeL,hns,nac",b0315,ECK0313,pdeLp2
yffMN,"yffN,yffM",,,"b2445,b2444","ECK2440,ECK2439",
fhuF,fhuF,DNA-binding transcriptional dual regulator Nac,nac,b4367,ECK4357,fhuFp2
aidB,aidB,"isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator / DNA repair protein Ada","aidB,lrp,ada",b4187,ECK4183,aidBp1
crr,crr,,,b2417,ECK2412,crrp2
ftp,ftp,DNA-binding transcriptional dual regulator YeiE,yeiE,b2214,ECK2206,
trxB,trxB,"DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrp,nac",b0888,ECK0879,trxBp
ravA-viaA,"ravA,viaA",DNA-binding transcriptional dual regulator FNR,fnr,"b3746,b3745","ECK3740,ECK3739",ravAp
nsrR-rnr-rlmB-yjfI,"yjfI,rlmB,rnr,nsrR",DNA-binding transcriptional dual regulator Lrp,lrp,"b4181,b4180,b4179,b4178","ECK4177,ECK4176,ECK4175,ECK4174",nsrRp
ptsHI-crr,"ptsH,ptsI,crr","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Cra","crp,cra","b2415,b2416,b2417","ECK2410,ECK2411,ECK2412",ptsHp2
frdABCD,"frdD,frdC,frdB,frdA","DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional activator DcuR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","narL,fnr,dcuR,lrp","b4151,b4152,b4153,b4154","ECK4147,ECK4148,ECK4149,ECK4150",frdAp
pspE,pspE,,,b1308,ECK1303,pspEp
insC3D3CD3,"insC3,insD3,insCD3",,,"b1997,b1996","ECK0357,ECK0358",
lpxD,lpxD,,,b0179,ECK0178,lpxDp
yhiL,yhiL,,,b4660,ECK3475,yhiLp
yggX,yggX,,,b2962,ECK2957,yggXp
htgA,mbiA,,,b0012,ECK0012,htgAp1
hinT-ycfL-lpoB-thiK-nagZ-ycfP,"ycfP,nagZ,thiK,lpoB,ycfL,hinT",DNA-binding transcriptional repressor GlaR,glaR,"b1108,b1107,b1106,b1105,b1104,b1103","ECK1094,ECK1093,ECK1092,ECK1091,ECK1090,ECK1089",
rydC,rydC,,,b4597,ECK4407,rydCp
ybeT,ybeT,DNA-binding transcriptional dual regulator Nac,nac,b0647,ECK0640,
bacA,bacA,DNA-binding transcriptional dual regulator CpxR-phosphorylated,cpxR,b3057,ECK3047,bacAp
pyrSR-ypdC,"ypdC,pyrR,pyrS","DNA-binding transcriptional repressor GlaR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","glaR,arcA","b2382,b2381,b2380","ECK2378,ECK2377,ECK2376",
tnaAB,"tnaB,tnaA","DNA-binding transcriptional activator ZraR-phosphorylated,DNA-binding transcriptional dual regulator Nac","zraR,nac","b3709,b3708","ECK3702,ECK3701",
cysK,cysK,DNA-binding transcriptional dual regulator CysB,cysB,b2414,ECK2409,cysKp1
ybiV,ybiV,,,b0822,ECK0812,
psuT,psuT,,,b2164,ECK2157,
panD,panD,,,b0131,ECK0130,panDp1
yidKJ,"yidK,yidJ",,,"b3679,b3678","ECK3670,ECK3669",
argR,argR,"ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator ArcA-phosphorylated","argR,lrp,arcA",b3237,ECK3226,argRp1
ppiA,ppiA,"DNA-binding transcriptional repressor CytR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","cytR,crp",b3363,ECK3351,ppiAp4
yodC,yodC,DNA-binding transcriptional dual regulator Lrp,lrp,b1957,ECK1955,
holC-valS,"valS,holC",,,"b4258,b4259","ECK4251,ECK4252",holCp
yhhW,yhhW,"DNA-binding transcriptional activator YhaJ,DNA-binding transcriptional dual regulator Lrp","yhaJ,lrp",b3439,ECK3424,
pdeR,pdeR,"DNA-binding transcriptional regulator FliZ,DNA-binding transcriptional dual regulator RutR","fliZ,rutR",b1285,ECK1280,pdeRp
osmB,osmB,DNA-binding transcriptional dual regulator Nac,nac,b1283,ECK1278,osmBp2
fadIJ,"fadJ,fadI","DNA-binding transcriptional dual regulator FadR,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator Lrp","fadR,arcA,lrp","b2341,b2342","ECK2335,ECK2336",fadIp
aspT,aspT,,,b3760,ECK3754,
ycdXY,"ycdY,ycdX",,,"b1035,b1034","ECK1021,ECK1020",
cydAB,"cydB,cydA","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","hns,nac,fnr,arcA","b0734,b0733","ECK0722,ECK0721",cydAp4
yagJ,yagJ,,,b0276,ECK0275,
epd-pgk-fbaA,"fbaA,pgk,epd","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Cra","crp,cra","b2925,b2926,b2927","ECK2921,ECK2922,ECK2923",epdp2
yfcZ,yfcZ,"RNA polymerase sigma factor RpoN,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator FNR","rpoN,lrp,fnr",b2343,ECK2337,yfcZp
ybhJ,ybhJ,,,b0771,ECK0760,
rhaSR,"rhaS,rhaR","DNA-binding transcriptional activator RhaS,RhaS-L-rhamnose DNA-binding transcriptional activator,RhaR-L-rhamnose DNA-binding transcriptional activator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","rhaS,rhaR,crp","b3905,b3906","ECK3898,ECK3899",rhaSp
dinB-yafNOP,"yafP,yafO,yafN,dinB","DNA-binding transcriptional repressor LexA,DNA-binding transcriptional dual regulator Nac","lexA,nac","b0234,b0233,b0232,b0231","ECK0235,ECK0234,ECK0233,ECK0232",dinBp2
yehS,yehS,DNA-binding transcriptional repressor GlaR,glaR,b2124,ECK2116,yehSp
rplL,rplL,,,b3986,ECK3977,rplLp
gor,gor,"DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional dual regulator Nac","oxyR,nac",b3500,ECK3485,gorp
yehF,yehF,"RcsB-BglJ DNA-binding transcriptional activator,DNA-binding transcriptional repressor LexA","bglJ,rcsB,lexA",b2115,ECK2108,yehFp
nuoABCEFGHIJKLMN,"nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","fis,cpxR,lrp","b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288","ECK2270,ECK2271,ECK2272,ECK2273,ECK2274,ECK2275,ECK2276,ECK2277,ECK2278,ECK2279,ECK2280,ECK2281,ECK2282",nuoAp1
yecDE,"yecE,yecD",DNA-binding transcriptional dual regulator Nac,nac,"b1868,b1867","ECK1869,ECK1868",
yiaKLMNO-lyx-sgbHUE,"sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaM,yiaL,yiaK",,,"b3583,b3582,b3581,b3580,b3579,b3578,b3577,b3576,b3575","ECK3572,ECK3571,ECK3570,ECK3569,ECK3568,ECK3567,ECK3566,ECK3565,ECK3564",yiaKp2
yheSTU,"yheU,yheT,yheS",,,"b3354,b3353,b3352","ECK3342,ECK3341,ECK3340",
plsB,plsB,,,b4041,ECK4033,plsBp2
uxaB,uxaB,,,b1521,ECK1514,
yjaB,yjaB,,,b4012,ECK4004,
mviM,yceM,,,b1068,ECK1053,
tusE,tusE,,,b0969,ECK0960,
metJ,metJ,,,b3938,ECK3930,metJp1
thiI,thiI,,,b0423,ECK0417,thiIp
csgDEFG,"csgG,csgF,csgE,csgD","DNA binding transcriptional dual regulator BolA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator OmpR-phosphorylated,RcsAB DNA-binding transcriptional dual regulator,DNA-binding transcriptional regulator RstA-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional activator MlrA,DNA-binding transcriptional dual regulator CsgD,DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional regulator FliZ,DNA-binding transcriptional dual regulator BasR-phosphorylated,DNA binding transcriptional dual regulator RcdA,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,DNA-binding transcriptional dual regulator H-NS,Phosphorylated DNA-binding transcriptional dual regulator BtsR","bolA,crp,ompR,rcsB,rcsA,rstA,cpxR,ihfA,ihfB,mlrA,csgD,cra,fliZ,basR,rcdA,mqsA,hns,btsR","b1037,b1038,b1039,b1040","ECK1023,ECK1024,ECK1025,ECK1026",csgDp3
yfbR,yfbR,CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,cysB,b2291,ECK2285,yfbRp3
ybfQ,ybfQ,,,b4514,ECK0693,
nrdAB-yfaE,"yfaE,nrdA,nrdB","DNA-binding transcriptional dual regulator H-NS,NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor,DnaA-ATP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArgP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Nac","hns,nrdR,dnaA,argP,crp,fis,nac","b2236,b2234,b2235","ECK2228,ECK2226,ECK2227",nrdAp
rhaSR,"rhaS,rhaR","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,RhaR-L-rhamnose DNA-binding transcriptional activator,RhaS-L-rhamnose DNA-binding transcriptional activator,DNA-binding transcriptional activator RhaS","crp,rhaR,rhaS","b3905,b3906","ECK3898,ECK3899",rhaSp2
insE5EF5F5,"insF5,insE5,insEF5",,,"b2089,b2088","ECK0299,ECK0298",
gapC_1C_2,gapC,DNA-binding transcriptional dual regulator FNR,fnr,b4493,ECK1409,
avtA,avtA,"DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Lrp",lrp,b3572,ECK3561,avtAp
ldrD,ldrD,,,b4453,ECK3524,ldrDp
uspA,uspA,"DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator FadR,DNA-binding transcriptional dual regulator Nac","ihfA,ihfB,fadR,nac",b3495,ECK3480,uspAp1
msrC,msrC,,,b1832,ECK1831,
symR,symR,,,b4625,ECK4432,symRp
aaeXAB,"aaeX,aaeA,aaeB","DNA-binding transcriptional activator AaeR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","aaeR,crp","b3242,b3241,b3240","ECK3231,ECK3230,ECK3229",aaeXp
glgAP,"glgP,glgA",DNA-binding transcriptional dual regulator PhoP-phosphorylated,phoP,"b3428,b3429","ECK3414,ECK3415",glgAp
ydjA-selD-topB,"topB,ydjA,selD",,,"b1763,b1765,b1764","ECK1761,ECK1763,ECK1762",ydjAp
gapA,gapA,DNA-binding transcriptional dual regulator Cra,cra,b1779,ECK1777,gapAp1
secG,secG,DNA-binding transcriptional dual regulator Nac,nac,b3175,ECK3164,
ycaL,ycaL,,,b0909,ECK0900,
treR,treR,DNA-binding transcriptional dual regulator PhoP-phosphorylated,phoP,b4241,ECK4236,treRp4
slyA,slyA,"DNA-binding transcriptional dual regulator SlyA,DNA-binding transcriptional dual regulator Lrp","slyA,lrp",b1642,ECK1638,
hdeAB-yhiD,"yhiD,hdeB,hdeA","DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator TorR-phosphorylated,DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator GadX,DNA-binding transcriptional dual regulator GadW,DNA-binding transcriptional dual regulator RcsB-phosphorylated,DNA-binding transcriptional regulator FliZ,DNA-binding transcriptional activator GadE","marA,hns,lrp,torR,phoP,gadX,gadW,rcsB,fliZ,gadE","b3508,b3509,b3510","ECK3492,ECK3493,ECK3494",hdeAp2
glpD,glpD,"DNA-binding transcriptional repressor GlpR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated","glpR,crp,arcA",b3426,ECK3412,glpDp
leuS-lptE-holA-nadD-cobC,"leuS,lptE,holA,nadD,cobC",DNA-binding transcriptional dual regulator Nac,nac,"b0642,b0641,b0640,b0639,b0638","ECK0635,ECK0634,ECK0633,ECK0632,ECK0631",
yeeED,"tsuA,tsuB",DNA-binding transcriptional dual regulator Lrp,lrp,"b2013,b2012","ECK2007,ECK2006",yeeEp
pqiABC,"pqiC,pqiB,pqiA",,,"b0952,b0951,b0950","ECK0943,ECK0942,ECK0941",pqiAp
yhjC,rcdB,DNA-binding transcriptional dual regulator PhoB-phosphorylated,phoB,b3521,ECK3506,yhjCp
queE,queE,DNA-binding transcriptional dual regulator PhoP-phosphorylated,phoP,b2777,ECK2771,
rlmE-ftsH,"ftsH,rlmE",DNA-binding transcriptional dual regulator Lrp,lrp,"b3178,b3179","ECK3167,ECK3168",rlmEp2
insG,insG,,,b4278,ECK4268,
cyaA,cyaA,,,b3806,ECK3800,cyaAp2
dmlA,dmlA,,,b1800,ECK1798,
asnW,asnW,,,b1984,ECK1979,
ispB,ispB,DNA-binding transcriptional dual regulator Nac,nac,b3187,ECK3176,
idnDOTR,"idnR,idnT,idnO,idnD","DNA-binding transcriptional repressor GntR,IdnR-5-dehydro-D-gluconate DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor GlaR","gntR,idnR,crp,glaR","b4264,b4265,b4266,b4267","ECK4257,ECK4258,ECK4259,ECK4260",idnDp
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,"rpmJ,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsN,rplE,rplX,rplN",DNA-binding transcriptional dual regulator Lrp,lrp,"b3299,b3300,b3301,b3302,b3303,b3304,b3305,b3306,b3307,b3308,b3309,b3310","ECK3286,ECK3287,ECK3288,ECK3289,ECK3290,ECK3291,ECK3292,ECK3293,ECK3294,ECK3295,ECK3296,ECK3297",rplNp
rybB,rybB,DNA-binding transcriptional dual regulator NsrR,nsrR,b4417,ECK0837,rybBp
frwD,frwD,,,b3953,ECK3944,
purT,purT,"DNA-binding transcriptional repressor PurR-hypoxanthine,DNA-binding transcriptional dual regulator Lrp","purR,lrp",b1849,ECK1850,purTp
psiE,psiE,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator PhoB-phosphorylated","crp,phoB",b4030,ECK4022,psiEp
cirA,cirA,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fur,crp",b2155,ECK2148,cirAp1
ybdO,ybdO,,,b0603,ECK0597,
yodB,yodB,DNA-binding transcriptional repressor GlaR,glaR,b1974,ECK1970,
glk,glk,DNA-binding transcriptional dual regulator Cra,cra,b2388,ECK2384,glkp2
yhhT,yhhT,,,b3474,ECK3458,
pta,pta,,,b2297,ECK2291,ptap
treR,treR,,,b4241,ECK4236,treRp1
nudG,nudG,DNA-binding transcriptional dual regulator Nac,nac,b1759,ECK1757,
cynTS,"cynS,cynT","CynR-cyanate DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","cynR,nac","b0340,b0339","ECK0337,ECK0336",cynTp
ydjE,ydjE,,,b1769,ECK1767,
rrsB-gltT-rrlB-rrfB,"rrfB,rrlB,gltT,rrsB",,,"b3971,b3970,b3969,b3968","ECK3963,ECK3962,ECK3961,ECK3960",rrsBp2
yhaKL,"yhaL,yhaK",DNA-binding transcriptional activator YhaJ,yhaJ,"b3107,b3106","ECK3098,ECK3097",
cpxRA,"cpxA,cpxR",DNA-binding transcriptional dual regulator CpxR-phosphorylated,cpxR,"b3911,b3912","ECK3904,ECK3905",cpxRp2
pntAB,"pntB,pntA","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator ArcA-phosphorylated","lrp,nac,arcA","b1602,b1603","ECK1597,ECK1598",pntAp
ybiJ,ybiJ,"DNA-binding transcriptional activator YhaJ,DNA-binding transcriptional dual regulator Lrp","yhaJ,lrp",b0802,ECK0791,
lptAB,"lptB,lptA",,,"b3201,b3200","ECK3190,ECK3189",lptAp1
csgBAC,"csgC,csgB,csgA","DNA-binding transcriptional dual regulator CsgD,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional regulator FliZ,Phosphorylated DNA-binding transcriptional dual regulator BtsR,FlhDC DNA-binding transcriptional dual regulator","csgD,cpxR,fliZ,btsR,flhD,flhC","b1043,b1041,b1042","ECK1029,ECK1027,ECK1028",csgBp2
ychF,ychF,DNA-binding transcriptional dual regulator OxyR,oxyR,b1203,ECK1191,ychFp
cysS,cysS,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR",b0526,ECK0519,cysSp
