Gene,Bnb,Left,Right,Product,ECKnb,Synonyms,Object ID,Activated,Activated_Bnb,Inhibited,Inhibited_Bnb
gndA,,2100863,2101027,heat shock-induced protein GndA,,gndA,G0-16693,,,,
lysC,b4024,4231884,4233233,aspartate kinase III,ECK4016,"lysC,apk,b4024,ECK4016",EG10550,,,,
insH5,b1370,1427746,1428726,Rac prophage; IS<i>5</i> transposase and trans-activator,ECK0261,"insH5,yi52_5,trs5-5,b1370,ECK0261",G6693,,,,
nemR,b1649,1726023,1726622,DNA-binding transcriptional repressor NemR,ECK1645,"nemR,ydhM,b1649,ECK1645",G6889,,,"gloA,nemA,nemR","b1651,b1650,b1649"
yhdJ,b3262,3411653,3412537,DNA adenine methyltransferase,ECK3249,"yhdJ,b3262,ECK3249",EG11498,,,,
fliJ,b1942,2017946,2018389,flagellar biosynthesis protein FliJ,ECK1940,"fliJ,flaO,b1942,ECK1940",G378,,,,
metL,b3940,4129835,4132267,fused aspartate kinase/homoserine dehydrogenase 2,ECK3932,"metL,metM,b3940,ECK3932",EG10590,,,,
och5,,3067187,3067344,small regulatory RNA Och5,,och5,G0-10701,,,,
ycaO,b0905,954872,956632,ribosomal protein S12 methylthiotransferase accessory factor YcaO,ECK0896,"ycaO,b0905,ECK0896",G6468,,,,
rrfG,b2588,2726069,2726188,5S ribosomal RNA,ECK2586,"rrfG,b2588,ECK2586",EG30075,,,,
yodE,b4780,2470497,2470643,CPS-53 (KpLE1) prophage; toxic protein YodE,ECK4637,"yodE,b4780,ECK4637",G0-17026,,,,
ymdF,b4518,1068081,1068254,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,ECK0996,"ymdF,b4518,ECK0996",G0-10443,,,,
ydiB,b1692,1773789,1774655,quinate/shikimate dehydrogenase,ECK1690,"ydiB,b1692,ECK1690",EG11234,,,,
beeE,b1151,1205731,1206204,e14 prophage; protein BeeE,ECK1137,"beeE,ymfO,b1151,ECK1137",G6595,,,,
matA,b0294,310746,311336,DNA-binding transcriptional dual regulator MatA,ECK0293,"matA,ykgK,ecpR,b0294,ECK0293",G6165,"matA,ecpA","b0294,b0293","fliX,fliC,tcyJ,fliZ,fliA,flhC,flhD","b4827,b1923,b1920,b1921,b1922,b1891,b1892"
ibsB,b4668,2153681,2153737,putative toxic peptide IbsB,ECK4483,"ibsB,b4668,ECK4483",G0-10632,,,,
flgE,b1076,1132574,1133782,flagellar hook protein FlgE,ECK1061,"flgE,flaK,b1076,ECK1061",G361,,,,
aroF,b2601,2740080,2741150,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",ECK2598,"aroF,b2601,ECK2598",EG10078,,,,
ydiE,b1705,1789613,1789804,PF10636 family protein YdiE,ECK1703,"ydiE,b1705,ECK1703",EG12391,,,,
def,b3287,3433690,3434199,peptide deformylase,ECK3273,"def,fms,b3287,ECK3273",EG11440,,,,
raiA,b2597,2737154,2737495,ribosome-associated inhibitor A,ECK2594,"raiA,urf1,yfiA,pY,b2597,ECK2594",EG11151,,,,
ibsE,b4666,3195141,3195200,toxic peptide IbsE,ECK4481,"ibsE,b4666,ECK4481",G0-10629,,,,
yhjR,b3535,3695997,3696185,PF10945 family protein YhjR,ECK3520,"yhjR,bcsR,b3535,ECK3520",EG12262,,,,
aroC,b2329,2446388,2447473,chorismate synthase,ECK2323,"aroC,b2329,ECK2323",EG10075,,,,
ybcW,b0559,579880,580086,DLP12 prophage; uncharacterized protein YbcW,ECK0551,"ybcW,b0559,ECK0551",G6314,,,,
punR,b1659,1738866,1739798,DNA-binding transcriptional activator PunR,ECK1655,"punR,ydhB,b1659,ECK1655",EG12140,punC,b1660,,
umpG,b2744,2869513,2870274,broad specificity 5'(3')-nucleotidase and polyphosphatase,ECK2739,"umpG,ygbC,surE,b2744,ECK2739",EG11817,,,,
flhC,b1891,1977266,1977844,DNA-binding transcriptional dual regulator FlhC,ECK1892,"flhC,flaI,b1891,ECK1892",EG10319,"clsC,ymdB,ymdA,csgC,nfrB,flhE,flhA,flhB,yecR,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgN,flgM,flgA,sroC,gltL,gltK,gltJ,gltI,fliK,fliJ,fliI,fliH,fliG,fliF,fliE,fliD,fliS,fliT,pdeH,ycgR,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,tcyJ,fliZ,fliA,hypF,hydN,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,glpA,glpB,glpC,ppdA,ppdB,ygdB,ppdC,recC,ygbK","b1046,b1045,b1044,b1043,b0569,b1878,b1879,b1880,b1904,b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080,b1081,b1070,b1071,b1072,b4763,b0652,b0653,b0654,b0655,b1943,b1942,b1941,b1940,b1939,b1938,b1937,b1924,b1925,b1926,b3525,b1194,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b1920,b1921,b1922,b2712,b2713,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b1944,b1945,b1946,b1947,b1948,b1949,b1950,b2241,b2242,b2243,b2826,b2825,b2824,b2823,b2822,b2737","mdh,mglC,mglA,mglB","b3236,b2148,b2149,b2150"
shiA,b1981,2053643,2054959,shikimate:H+ symporter,ECK1976,"shiA,yeeM,b1981,ECK1976",G7067,,,,
plsC,b3018,3162744,3163481,1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC,ECK3009,"plsC,parF,b3018,ECK3009",EG11377,,,,
srkA,b3859,4042415,4043401,stress response kinase A,ECK3851,"srkA,orfA,yihE,b3859,ECK3851",EG11831,,,,
rpsG,b3341,3473542,3474081,30S ribosomal subunit protein S7,ECK3328,"rpsG,b3341,ECK3328",EG10906,,,"tufA,fusA,rpsG,rpsL","b3339,b3340,b3341,b3342"
lsrK,b1511,1598617,1600209,autoinducer-2 kinase,ECK1504,"lsrK,ydeV,b1511,ECK1504",G6798,,,,
yagN,b0280,295139,295579,CP4-6 prophage; protein YagN,ECK0279,"yagN,b0280,ECK0279",G6151,,,,
aroK,b3390,3518543,3519064,shikimate kinase 1,ECK3377,"aroK,b3390,ECK3377",EG10081,,,,
cdsA,b0175,195677,196534,CDP-diglyceride synthetase,ECK0174,"cdsA,cds,b0175,ECK0174",EG10139,,,,
nfeR,b3071,3216779,3217402,DNA-binding transcriptional repressor NfeR,ECK3061,"nfeR,yqjI,b3071,ECK3061",G7594,,,"nfeF,nfeR","b3070,b3071"
flgI,b1080,1136274,1137371,flagellar P-ring protein,ECK1065,"flgI,flaM,b1080,ECK1065",G365,,,,
aroD,b1693,1774686,1775444,3-dehydroquinate dehydratase,ECK1691,"aroD,b1693,ECK1691",EG10076,,,,
fabZ,b0180,202101,202556,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,ECK0179,"fabZ,sfhC21,sabA1,sefA,yaeA,b0180,ECK0179",EG11284,,,,
pphC,b2072,2151711,2152472,protein-serine/threonine phosphatase PphC,ECK2066,"pphC,yegK,b2072,ECK2066",G7111,,,,
rplW,b3318,3451382,3451684,50S ribosomal subunit protein L23,ECK3305,"rplW,b3318,ECK3305",EG10883,,,,
ykfA,b0253,268097,268960,CP4-6 prophage; putative GTP-binding protein YkfA,ECK0255,"ykfA,b0253,ECK0255",G6128,,,,
aroA,b0908,958812,960095,3-phosphoshikimate 1-carboxyvinyltransferase,ECK0899,"aroA,b0908,ECK0899",EG10073,,,,
gnsB,b1550,1637609,1637782,Qin prophage; protein GnsB,ECK1544,"gnsB,ydfY,b1550,ECK1544",G6823,,,,
mcbR,b1450,1520262,1520927,DNA-binding transcriptional dual regulator McbR,ECK1444,"mcbR,yncC,b1450,ECK1444",G6761,"rmf,rsd,yciE,yciF,yciG","b0953,b3995,b1257,b1258,b1259",mcbA,b0806
flgB,b1073,1131018,1131434,flagellar basal-body rod protein FlgB,ECK1058,"flgB,flbA,b1073,ECK1058",G358,,,,
aroL,b0388,406405,406929,shikimate kinase 2,ECK0383,"aroL,b0388,ECK0383",EG10082,,,,
acpT,b3475,3612969,3613556,holo-[acyl carrier protein] synthase 2,ECK3459,"acpT,yhhU,b3475,ECK3459",EG12221,,,,
citG,b0613,646631,647509,triphosphoribosyl-dephospho-CoA synthase,ECK0606,"citG,ybdT,b0613,ECK0606",G6339,,,,
rplD,b3319,3451681,3452286,50S ribosomal subunit protein L4,ECK3306,"rplD,eryA,b3319,ECK3306",EG10867,,,"rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,tnaA","b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3708"
intE,b1140,1199679,1200806,e14 prophage; putative integrase,ECK1126,"intE,int(Lambda),ycfI,b1140,ECK1126",EG12370,,,,
aroE,b3281,3430020,3430838,shikimate dehydrogenase,ECK3268,"aroE,b3281,ECK3268",EG10077,,,,
fabH,b1091,1148759,1149712,3-oxoacyl-[acyl carrier protein] synthase 3,ECK1077,"fabH,b1091,ECK1077",EG10277,,,,
yiiE,b3889,4079291,4079509,putative DNA-binding transcriptional regulator YiiE,ECK3882,"yiiE,b3889,ECK3882",EG11854,,,,
pgpB,b1278,1339330,1340094,phosphatidylglycerophosphatase B,ECK1273,"pgpB,b1278,ECK1273",EG10705,,,,
aroB,b3389,3517398,3518486,3-dehydroquinate synthase,ECK3376,"aroB,b3389,ECK3376",EG10074,,,,
accA,b0185,208621,209580,acetyl-CoA carboxyltransferase subunit &alpha;,ECK0184,"accA,b0185,ECK0184",EG11647,,,"accD,accA","b2316,b0185"
hprS,b1968,2036794,2038152,"HprS-<i>N</i>-phospho-L-histidine,sensor histidine kinase HprS",ECK1964,"hprS,yedV,b1968,ECK1964",G7056,,,,
rrsE,b4007,4208147,4209688,16S ribosomal RNA,ECK3999,"rrsE,b4007,ECK3999",EG30088,,,,
yfdT,b2363,2475873,2476178,CPS-53 (KpLE1) prophage; protein YfdT,ECK2357,"yfdT,b2363,ECK2357",G7232,,,,
glnG,b3868,4053869,4055278,DNA-binding transcriptional dual regulator NtrC,ECK3861,"glnG,glnT,ntrC,b3868,ECK3861",EG10385,"rseD,rseC,rseB,rseA,rpoE,patA,relA,astE,astB,astD,astA,astC,potF,potG,potH,potI,ddpF,ddpD,ddpC,ddpB,ddpA,ddpX,yhdZ,yhdY,yhdX,yhdW,yeaH,yeaG,hisP,hisM,hisQ,hisJ,argT,rutA,rutB,rutC,rutD,rutE,rutF,rutG,cbl,glnG,glnL,glnA,glnQ,glnP,glnH,nac,amtB,glnK","b4725,b2570,b2571,b2572,b2573,b3073,b2784,b1744,b1745,b1746,b1747,b1748,b0854,b0855,b0856,b0857,b1483,b1484,b1485,b1486,b1487,b1488,b3271,b3270,b3269,b3268,b1784,b1783,b2306,b2307,b2308,b2309,b2310,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b1987,b3868,b3869,b3870,b0809,b0810,b0811,b1988,b0451,b0450","glnQ,glnP,glnH,glnG,glnL,glnA","b0809,b0810,b0811,b3868,b3869,b3870"
fabA,b0954,1015952,1016470,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,ECK0945,"fabA,b0954,ECK0945",EG10273,,,,
yghO,b2981,3129043,3130215,putative DNA-binding transcriptional regulator YghO,ECK2976,"yghO,b2981,ECK2976",G7547,,,,
gnsA,b4517,1052067,1052240,putative phosphatidylethanolamine synthesis regulator GnsA,ECK0982,"gnsA,yccL,sfa,b4517,ECK0982",G0-9662,,,,
glnQ,b0809,845741,846463,L-glutamine ABC transporter ATP binding subunit,ECK0798,"glnQ,b0809,ECK0798",EG10389,,,,
accD,b2316,2433012,2433926,acetyl-CoA carboxyltransferase subunit &beta;,ECK2310,"accD,dedB,usg,b2316,ECK2310",EG10217,,,"accD,accA","b2316,b0185"
qseC,b3026,3170484,3171833,"QseC-<i>N</i>-phospho-L-histidine,sensor histidine kinase QseC",ECK3017,"qseC,ygiY,b3026,ECK3017",EG12658,,,,
rrfC,b3759,3946700,3946819,5S ribosomal RNA,ECK3753,"rrfC,b3759,ECK3753",EG30072,,,,
glnH,b0811,847258,848004,L-glutamine ABC transporter periplasmic binding protein,ECK0800,"glnH,b0811,ECK0800",EG10386,,,,
cbeA,b2004,2077112,2077480,CP4-44 prophage; cytoskeleton bundling-enhancing antitoxin CbeA,ECK1997,"cbeA,yeeU,b2004,ECK1997",G7084,,,,
fabD,b1092,1149728,1150657,[acyl-carrier-protein] <i>S</i>-malonyltransferase,ECK1078,"fabD,tfpA,b1092,ECK1078",EG11317,,,,
yebK,b1853,1936652,1937521,DNA-binding transcriptional repressor YebK,ECK1854,"yebK,hexR(P.a.),b1853,ECK1854",EG12860,,,yebK,b1853
plsY,b3059,3204694,3205311,putative glycerol-3-phosphate acyltransferase,ECK3049,"plsY,ygiH,b3059,ECK3049",EG11674,,,,
glnA,b3870,4056625,4058034,"adenylyl-[glutamine synthetase],glutamine synthetase",ECK3863,"glnA,b3870,ECK3863",EG10383,,,,
plsB,b4041,4254043,4256466,glycerol-3-phosphate 1-<i>O</i>-acyltransferase,ECK4033,"plsB,b4041,ECK4033",EG10740,,,,
selO,b1706,1789808,1791244,protein adenylyltransferase SelO,ECK1704,"selO,ydiU,b1706,ECK1704",G6924,,,,
rpsT,b0023,20815,21078,30S ribosomal subunit protein S20,ECK0024,"rpsT,supS,sup(s20),supS20,b0023,ECK0024",EG10919,,,,
lsrG,b1518,1606999,1607289,"(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",ECK1511,"lsrG,yneC,b1518,ECK1511",G6805,,,,
rzpQ,b1553,1639030,1639527,Qin prophage; DUF2514 domain-containing protein RzpQ,ECK1547,"rzpQ,ydfP,b1553,ECK1547",G6826,,,,
glnD,b0167,185978,188650,protein-PII uridylyltransferase/uridylyl-removing enzyme,ECK0165,"glnD,glnD5,b0167,ECK0165",EG11411,,,,
fabF,b1095,1151939,1153180,3-oxoacyl-[acyl carrier protein] synthase 2,ECK1081,"fabF,vtr,cvc,fabJ,vtrB,b1095,ECK1081",EG12606,,,,
yfeD,b2399,2518813,2519205,putative DNA-binding transcriptional regulator YfeD,ECK2393,"yfeD,b2399,ECK2393",EG11432,,,,
bssR,b0836,878248,878631,regulator of biofilm formation,ECK0826,"bssR,yliH,b0836,ECK0826",G6436,,,,
plsX,b1090,1147621,1148691,putative phosphate acyltransferase,ECK1076,"plsX,b1090,ECK1076",EG11437,,,,
glnL,b3869,4055290,4056339,protein histidine kinase NtrB,ECK3862,"glnL,glnR,ntrB,b3869,ECK3862",EG10387,,,,
aas,b2836,2973855,2976014,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,ECK2832,"aas,b2836,ECK2832",EG11679,,,,
rcsD,b2216,2313488,2316160,"RcsD-<i>N</i>-phospho-L-histidine,RcsD phosphotransferase",ECK2209,"rcsD,yojP,yojQ,yojN,b2216,ECK2209",EG12385,,,,
rpsD,b3296,3441055,3441675,30S ribosomal subunit protein S4,ECK3283,"rpsD,ramA,sud(2),sud2,b3296,ECK3283",EG10903,,,"rpsD,rpsK,rplQ,rpsM","b3296,b3297,b3294,b3298"
bssS,b1060,1120701,1120955,regulator of biofilm formation,ECK1045,"bssS,yceP,b1060,ECK1045",G6557,,,,
ynaK,b1365,1425377,1425640,Rac prophage; ParB-like nuclease domain-containing protein YnaK,ECK1363,"ynaK,b1365,ECK1363",G6688,,,,
glnB,b2553,2687070,2687408,"uridylyl-[protein PII-1],nitrogen regulatory protein PII-1",ECK2550,"glnB,b2553,ECK2550",EG10384,,,,
fabB,b2323,2440385,2441605,3-oxoacyl-[acyl carrier protein] synthase 1,ECK2317,"fabB,fabC,b2323,ECK2317",EG10274,,,,
yphH,b2550,2682863,2684056,"putative DNA-binding transcriptional regulator, NAGC-like",ECK2547,"yphH,b2550,ECK2547",G7344,,,,
pssA,b2585,2722727,2724082,phosphatidylserine synthase,ECK2583,"pssA,pss,b2585,ECK2583",EG10781,,,,
artI,b0863,902257,902988,putative ABC transporter periplasmic binding protein ArtI,ECK0854,"artI,b0863,ECK0854",EG11625,,,,
fabI,b1288,1350251,1351039,enoyl-[acyl-carrier-protein] reductase,ECK1283,"fabI,envM,gts,qmeA,b1288,ECK1283",EG11528,,,,
rimJ,b1066,1125562,1126146,ribosomal-protein-S5-alanine N-acetyltransferase,ECK1051,"rimJ,tcp,b1066,ECK1051",EG10851,,,,
rplS,b2606,2744183,2744530,50S ribosomal subunit protein L19,ECK2603,"rplS,b2606,ECK2603",EG10880,,,,
rzpD,b0556,578107,578568,DLP12 prophage; putative prophage endopeptidase RzpD,ECK0547,"rzpD,ybcT,b0556,ECK0547",G6311,,,,
glnP,b0810,846460,847119,L-glutamine ABC transporter membrane subunit,ECK0799,"glnP,b0810,ECK0799",EG10388,,,,
dgkA,b4042,4256637,4257005,diacylglycerol kinase,ECK4034,"dgkA,b4042,ECK4034",EG10224,,,,
mntR,b0817,853183,853650,DNA-binding transcriptional dual regulator MntR,ECK0807,"mntR,ybiQ,b0817,ECK0807",G6420,mntP,b1821,"dps,rybA,mntS,mntH","b0812,b4416,b4705,b2392"
pgsA,b1912,1992269,1992817,CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase,ECK1911,"pgsA,b1912,ECK1911",EG10706,,,,
livK,b3458,3596451,3597560,L-leucine/L-phenylalanine ABC transporter periplasmic binding protein,ECK3442,"livK,hrbD,hrbC,hrbB,b3458,ECK3442",EG10540,,,,
fabG,b1093,1150670,1151404,3-oxoacyl-[acyl-carrier-protein] reductase FabG,ECK1079,"fabG,b1093,ECK1079",EG11318,,,,
etp,b0982,1044230,1044676,phosphotyrosine-protein phosphatase Etp,ECK0973,"etp,yccY,b0982,ECK0973",G6503,,,,
rplA,b3984,4178879,4179583,50S ribosomal subunit protein L1,ECK3975,"rplA,rpy,b3984,ECK3975",EG10864,,,"rpoC,rpoB,rplL,rplJ,rplA,rplK","b3988,b3987,b3986,b3985,b3984,b3983"
htrE,b0139,152829,155426,putative fimbrial usher protein HtrE,ECK0138,"htrE,b0139,ECK0138",EG11972,,,,
yagK,b0277,292322,292948,CP4-6 prophage; uncharacterized protein YagK,ECK0276,"yagK,b0277,ECK0276",G6148,,,,
leuC,b0072,79464,80864,3-isopropylmalate dehydratase subunit LeuC,ECK0074,"leuC,b0072,ECK0074",EG11576,,,,
cysQ,b4214,4436755,4437495,"3'(2'),5'-bisphosphate nucleotidase",ECK4210,"cysQ,amt,amtA,b4214,ECK4210",EG10043,,,,
lpxT,b2174,2268854,2269567,lipid A-core phosphotransferase,ECK2168,"lpxT,yeiU,b2174,ECK2168",G7146,,,,
cecR,b0796,829972,830643,DNA-binding transcriptional dual regulator CecR,ECK0785,"cecR,ybiH,b0796,ECK0785",EG12406,rhlE,b0797,"cecR,ybhG,ybhF,ybhS,ybhR","b0796,b0795,b0794,b0793,b0792"
clsB,b0789,822498,823739,cardiolipin synthase B,ECK0778,"clsB,ybhO,b0789,ECK0778",G6406,,,,
leuA,b0074,81958,83529,2-isopropylmalate synthase,ECK0076,"leuA,b0074,ECK0076",EG11226,,,,
arpA,b4017,4220301,4222487,regulator of acetyl CoA synthetase,ECK4009,"arpA,arp,yjaC,b4017,ECK4009",EG11208,,,,
npr,b3206,3347966,3348238,"Npr-<i>N</i>-phospho-L-histidine,phosphorelay protein NPr",ECK3195,"npr,yhbK,ptsO,rpoR,b3206,ECK3195",EG12147,,,,
rrsB,b3968,4166659,4168200,16S ribosomal RNA,ECK3960,"rrsB,b3968,ECK3960",EG30085,,,,
bcsC,b3530,3685700,3689173,cellulose synthase outer membrane channel,ECK3515,"bcsC,yhjL,b3530,ECK3515",EG12257,,,,
ykfF,b0249,265304,265543,CP4-6 prophage; protein YkfF,ECK0251,"ykfF,b0249,ECK0251",G6124,,,,
leuO,b0076,84368,85312,DNA-binding transcriptional dual regulator LeuO,ECK0078,"leuO,b0076,ECK0078",EG10531,"casA,casB,casC,casD,casE,cas1,cas2,bglJ,yjjQ,bglB,bglF,bglG,leuO,leuD,leuC,leuB,leuA,leuL","b2760,b2759,b2758,b2757,b2756,b2755,b2754,b4366,b4365,b3721,b3722,b3723,b0076,b0071,b0072,b0073,b0074,b0075","ybeQ,gltF,yghS,yghR,leuO,dsrA,cadC","b0644,b3214,b2985,b2984,b0076,b1954,b4133"
glpF,b3927,4117245,4118090,glycerol facilitator,ECK3919,"glpF,b3927,ECK3919",EG10396,,,,
eutM,b2457,2572157,2572450,putative ethanolamine catabolic microcompartment shell protein EutM,ECK2452,"eutM,yffZ,cchA,b2457,ECK2452",G7287,,,,
dmlR,b1799,1880886,1881809,DNA-binding transcriptional regulator DmlR,ECK1797,"dmlR,yeaT,b1799,ECK1797",G6985,,,,
lgt,b2828,2965162,2966037,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,ECK2824,"lgt,umpA,b2828,ECK2824",EG12128,,,,
leuB,b0073,80867,81958,3-isopropylmalate dehydrogenase,ECK0075,"leuB,b0073,ECK0075",EG11577,,,,
fabY,b3888,4077449,4078438,putative fatty acid biosynthesis enzyme FabY,ECK3881,"fabY,yiiD,b3888,ECK3881",EG11853,,,,
glrK,b2556,2689671,2691098,"GlrK-<i>N</i>-phospho-L-histidine,histidine kinase GlrK",ECK2553,"glrK,yfhZ,yfhK,qseE,b2556,ECK2553",G7345,,,,
ffs,b0455,476448,476561,signal recognition particle 4.5S RNA,ECK0449,"ffs,b0455,ECK0449",EG30027,,,,
ecpD,b0290,305174,306817,fimbrial adhesin EcpD,ECK0289,"ecpD,yagW,matE,b0290,ECK0289",G6161,,,,
yagB,b0266,280385,280735,CP4-6 prophage; orphan antitoxin YagB,ECK0267,"yagB,b0266,ECK0267",EG12339,,,,
leuL,b0075,83622,83708,<i>leu</i> operon leader peptide,ECK0077,"leuL,leuLP,leulL,leulLP,leuIP,b0075,ECK0077",EG11280,,,,
accC,b3256,3405917,3407266,biotin carboxylase,ECK3243,"accC,fabG,b3256,ECK3243",EG10276,,,,
eutS,b2462,2575470,2575805,putative ethanolamine catabolic microcompartment shell protein EutS,ECK2457,"eutS,ypfE,b2462,ECK2457",G7292,,,,
ybdO,b0603,636716,637618,putative LysR family DNA-binding transcriptional regulator YbdO,ECK0597,"ybdO,b0603,ECK0597",G6332,,,,
pgpC,b2560,2697915,2698550,phosphatidylglycerophosphatase C,ECK2558,"pgpC,yfhB,b2560,ECK2558",EG11371,,,,
leuD,b0071,78848,79453,3-isopropylmalate dehydratase subunit LeuD,ECK0073,"leuD,b0071,ECK0073",EG11575,,,,
cfa,b1661,1741413,1742561,cyclopropane fatty acyl phospholipid synthase,ECK1657,"cfa,cdfA,b1661,ECK1657",EG11531,,,,
yejK,b2186,2282940,2283947,nucleoid-associated protein YejK,ECK2180,"yejK,ndpA,b2186,ECK2180",EG12048,,,,
rpsQ,b3311,3448314,3448568,30S ribosomal subunit protein S17,ECK3298,"rpsQ,neaA,b3311,ECK3298",EG10916,,,,
mcbA,b0806,841796,842056,DUF1471 domain-containing protein McbA,ECK0795,"mcbA,ybiM,b0806,ECK0795",G6415,,,,
ydfD,b1576,1649794,1649985,Qin prophage; lysis protein,ECK1570,"ydfD,b1576,ECK1570",EG11303,,,,
ilvL,b3766,3950322,3950420,<i>ilvXGMEDA</i> operon leader peptide,ECK3759,"ilvL,b3766,ECK3759",EG11270,,,,
acpS,b2563,2700618,2700998,holo-[acyl-carrier-protein] synthase,ECK2561,"acpS,dpj,b2563,ECK2561",EG10247,,,,
rcdB,b3521,3672414,3673313,putative DNA-binding transcriptional regulator YhjC,ECK3506,"rcdB,yhjC,b3521,ECK3506",EG12247,,,,
clsC,b1046,1106355,1107776,cardiolipin synthase C,ECK1032,"clsC,ymdC,b1046,ECK1032",G6551,,,,
ilvA,b3772,3955331,3956875,threonine deaminase,ECK3764,"ilvA,ile,b3772,ECK3764",EG10493,,,,
lplA,b4386,4623101,4624117,lipoate&mdash;protein ligase A,ECK4378,"lplA,yjjF,slr,b4386,ECK4378",EG11796,,,,
tpr,b1229,1287087,1287176,protamine-like protein,ECK1224,"tpr,b1229,ECK1224",EG11016,,,,
rpsA,b0911,961995,963668,30S ribosomal subunit protein S1,ECK0902,"rpsA,ssyF,b0911,ECK0902",EG10900,"rpsO,pnp,fis,manY","b3165,b3164,b3261,b1818",rpsA,b0911
pspD,b1307,1369393,1369614,phage shock protein D,ECK1302,"pspD,b1307,ECK1302",EG10779,,,,
livJ,b3460,3598555,3599658,branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein,ECK3444,"livJ,hrbD,hrbC,hrbB,b3460,ECK3444",EG10539,,,,
lipA,b0628,659251,660216,lipoyl synthase,ECK0621,"lipA,lip,b0628,ECK0621",EG11306,,,,
hupB,b0440,461451,461723,DNA-binding protein HU-&beta;,ECK0434,"hupB,dpeA,dbhB,hopD,b0440,ECK0434",EG10467,micF,b4439,"pgm,seqA,mtr,tyrP,galM,galK,galT,galE","b0688,b0687,b3161,b1907,b0756,b0757,b0758,b0759"
pgpA,b0418,436589,437107,phosphatidylglycerophosphatase A,ECK0412,"pgpA,yajN,b0418,ECK0412",EG10704,,,,
ilvM,b3769,3952201,3952464,acetolactate synthase II subunit IlvM,ECK3761,"ilvM,b3769,ECK3761",EG10501,,,,
lipB,b0630,661637,662278,lipoyl(octanoyl) transferase,ECK0623,"lipB,cde,lip,b0630,ECK0623",EG11591,,,,
yraI,b3143,3288090,3288785,putative fimbrial chaperone YraI,ECK3131,"yraI,b3143,ECK3131",G7638,,,,
rplP,b3313,3448759,3449169,50S ribosomal subunit protein L16,ECK3300,"rplP,b3313,ECK3300",EG10877,,,,
fhuA,b0150,167484,169727,ferrichrome outer membrane transporter/phage receptor,ECK0149,"fhuA,T1,T5rec,tonA,b0150,ECK0149",EG10302,,,,
ivbL,b3672,3852890,3852988,<i>ilvBN</i> operon leader peptide,ECK3663,"ivbL,b3672,ECK3663",EG11275,,,,
btuR,b1270,1327767,1328357,cobinamide/cobalamin adenosyltransferase,ECK1264,"btuR,cobA,b1270,ECK1264",EG10130,,,,
bdcR,b4251,4474124,4474717,putative transcriptional regulator BdcR,ECK4244,"bdcR,yjgJ,b4251,ECK4244",G7882,,,,
clsA,b1249,1307185,1308645,cardiolipin synthase A,ECK1243,"clsA,yciJ,nov,cls,b1249,ECK1243",EG11608,,,,
ilvB,b3671,3851096,3852784,acetohydroxy acid synthase I subunit IlvB,ECK3662,"ilvB,b3671,ECK3662",EG10494,,,,
cobC,b0638,669296,669907,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,ECK0631,"cobC,phpB,b0638,ECK0631",G6349,,,,
djlB,b0646,677415,678842,J domain-containing protein DjlB,ECK0639,"djlB,ybeS,b0646,ECK0639",G6353,,,,
deaD,b3162,3305971,3307860,ATP-dependent RNA helicase DeaD,ECK3150,"deaD,csdA,mssB,rhlD,b3162,ECK3150",EG10215,"mntR,sdiA,uvrY","b0817,b1916,b1914",,
abpB,b2627,2761351,2763540,CP4-57 prophage; putative helicase YfjK,ECK2623,"abpB,yfjK,b2627,ECK2623",G7362,,,,
livM,b3456,3594203,3595480,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM,ECK3440,"livM,b3456,ECK3440",EG10541,,,,
cobS,b1992,2064479,2065222,cobalamin 5'-phosphate synthase,ECK1987,"cobS,b1992,ECK1987",EG12150,,,,
ydiP,b1696,1778390,1779301,putative DNA-binding transcriptional regulator YdiP,ECK1694,"ydiP,b1696,ECK1694",G6919,,,,
