Regulator	Regulated	Effect	Evidence	Strength
Sigma70	glpX	+	[HIPP, TIM]	Weak
Sigma70	glrK	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	gltA	+	[GEA, IMP, TIM]	Weak
Sigma70	gltI	+	[HIPP, IC]	Weak
Sigma70	gltJ	+	[HIPP, IC]	Weak
Sigma70	gltK	+	[HIPP, IC]	Weak
Sigma70	gltL	+	[HIPP, IC]	Weak
Sigma70	gltT	+	[AIPP, TIM]	Weak
Sigma70	gltU	+	[HIPP]	Weak
Sigma70	gltV	+	[HIPP]	Weak
Sigma70	gltW	+	[HIPP]	Weak
Sigma70	gltX	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	gluQ	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	glxK	+	[AIPP]	Weak
Sigma70	glxR	+	[AIPP]	Weak
Sigma70	glyA	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma70	glyQ	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	glyS	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	glyT	+	[HIPP, IMP]	Weak
Sigma70	glyU	+	[HIPP]	Weak
Sigma70	glyV	+	[HIPP]	Weak
Sigma70	glyW	+	[HIPP]	Weak
Sigma70	glyX	+	[HIPP]	Weak
Sigma70	glyY	+	[HIPP]	Weak
Sigma70	gmk	+	[RS-EPT-CBR, TAS]	Strong
Sigma70	gnd	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	gntK	+	[TIM]	Strong
Sigma70	gntP	+	[TIM]	Strong
Sigma70	gntR	+	[HIPP, TIM]	Weak
Sigma70	gntT	+	[TIM]	Strong
Sigma70	gntU	+	[TIM]	Strong
Sigma70	gph	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	gpsA	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	gpt	+	[HIPP]	Weak
Sigma70	grcA	+	[CV(FP/TIM), FP, HIPP, IMP, TIM]	Confirmed
Sigma70	greA	+	[TIM]	Strong
Sigma70	grxB	+	[AIPP, GEA, IMP]	Weak
Sigma70	grxC	+	[HIPP, TIM]	Weak
Sigma70	grxD	+	[AIPP]	Weak
Sigma70	gspA	+	[HIPP, TIM]	Weak
Sigma70	gspB	+	[HIPP, TIM]	Weak
Sigma70	gspC	+	[HIPP, TIM]	Weak
Sigma70	gspD	+	[HIPP, TIM]	Weak
Sigma70	gspE	+	[HIPP, TIM]	Weak
Sigma70	gspF	+	[HIPP, TIM]	Weak
Sigma70	gspG	+	[HIPP, TIM]	Weak
Sigma70	gspH	+	[HIPP, TIM]	Weak
Sigma70	gspI	+	[HIPP, TIM]	Weak
Sigma70	gspJ	+	[HIPP, TIM]	Weak
Sigma70	gspK	+	[HIPP, TIM]	Weak
Sigma70	gspL	+	[HIPP, TIM]	Weak
Sigma70	gspM	+	[HIPP, TIM]	Weak
Sigma70	gspO	+	[HIPP, TIM]	Weak
Sigma70	guaA	+	[HIPP, TIM]	Weak
Sigma70	guaB	+	[HIPP, TIM]	Weak
Sigma70	gutM	+	[TIM]	Strong
Sigma70	gutQ	+	[TIM]	Strong
Sigma70	gyrA	+	[IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	hchA	+	[TIM]	Strong
Sigma70	hemA	+	[TIM]	Strong
Sigma70	hemB	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	hemF	+	[HIPP, TIM]	Weak
Sigma70	hemH	+	[TIM]	Strong
Sigma70	hemN	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	hflC	+	[HIPP, HTTIM, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hflD	+	[TIM]	Strong
Sigma70	hflK	+	[HIPP, HTTIM, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hflX	+	[HIPP, HTTIM, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hfq	+	[HIPP, HTTIM, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hha	+	[HIPP, TIM]	Weak
Sigma70	hicA	+	[TIM]	Strong
Sigma70	hicB	+	[TIM]	Strong
Sigma70	higA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	higB	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	hipA	+	[TIM]	Strong
Sigma70	hipB	+	[TIM]	Strong
Sigma70	hisA	+	[TIM]	Strong
Sigma70	hisB	+	[TIM]	Strong
Sigma70	hisF	+	[TIM]	Strong
Sigma70	hisH	+	[TIM]	Strong
Sigma70	hisI	+	[TIM]	Strong
Sigma70	hisJ	+	[IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hisM	+	[IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hisP	+	[IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hisQ	+	[IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	hisR	+	[CV(FP/TIM), FP, HIPP, IMP, TIM]	Confirmed
Sigma70	hisS	+	[TIM]	Strong
Sigma70	hns	+	[HTTIM, RS-EPT-CBR, TIM]	Strong
Sigma70	hofB	+	[AIPP]	Weak
Sigma70	hofC	+	[AIPP]	Weak
Sigma70	hokD	+	[TIM]	Strong
Sigma70	hpf	+	[HIPP]	Weak
Sigma70	hpt	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	hscA	+	[TIM]	Strong
Sigma70	hscB	+	[TIM]	Strong
Sigma70	hslJ	+	[TIM]	Strong
Sigma70	htrE	+	[HIPP, TIM]	Weak
Sigma70	hupB	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	hybA	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybB	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybC	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybD	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybE	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybF	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybG	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hybO	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	hyi	+	[AIPP]	Weak
Sigma70	hypF	+	[IDA]	Strong
Sigma70	icd	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	idlP	+	[HIPP, TIM]	Weak
Sigma70	idnK	+	[TIM]	Strong
Sigma70	idnR	+	[AIPP]	Weak
Sigma70	ihfB	+	[HIPP, TIM]	Weak
Sigma70	ileS	+	[CV(FP/RS-EPT-CBR), CV(FP/TIM), FP, HIPP, RS-EPT-CBR, TIM]	Confirmed
Sigma70	ileT	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	ileU	+	[HIPP, TIM]	Weak
Sigma70	ileV	+	[HIPP, HTTIM]	Weak
Sigma70	ileX	+	[HIPP]	Weak
Sigma70	ilvA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	ilvB	+	[HIPP, TIM]	Weak
Sigma70	ilvC	+	[HIPP, IEP, IMP, TIM]	Weak
Sigma70	ilvD	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	ilvE	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	ilvG	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	ilvH	+	[HIPP, TASES, TIM]	Weak
Sigma70	ilvI	+	[HIPP, TASES, TIM]	Weak
Sigma70	ilvL	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	ilvM	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	ilvN	+	[HIPP, TIM]	Weak
Sigma70	ilvX	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	inaA	+	[HIPP]	Weak
Sigma70	infA	+	[AIPP, TIM]	Weak
Sigma70	infB	+	[HIPP, HTTIM, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	infC	+	[AIPP, TIM]	Weak
Sigma70	insD-7	+	[HIPP, TASES]	Weak
Sigma70	intQ	+	[HIPP, TASES]	Weak
Sigma70	intS	+	[TIM]	Strong
Sigma70	iraD	+	[HIPP, TIM]	Weak
Sigma70	iraM	+	[TIM]	Strong
Sigma70	iraP	+	[NTAS, RS-EPT-CBR, TIM]	Weak
Sigma70	iscA	+	[TIM]	Strong
Sigma70	iscR	+	[TIM]	Strong
Sigma70	iscS	+	[TIM]	Strong
Sigma70	iscU	+	[TIM]	Strong
Sigma70	iscX	+	[TIM]	Strong
Sigma70	ispA	+	[HIPP]	Weak
Sigma70	ispH	+	[CV(FP/RS-EPT-CBR), CV(FP/TIM), FP, HIPP, ICWHO, IDA, RS-EPT-CBR, TIM]	Confirmed
Sigma70	isrC	+	[HIPP, TIM]	Weak
Sigma70	istR	+	[TIM]	Strong
Sigma70	ivbL	+	[HIPP, TIM]	Weak
Sigma70	katG	+	[HIPP, TIM]	Weak
Sigma70	kbaY	+	[HIPP, TIM]	Weak
Sigma70	kbaZ	+	[TIM]	Strong
Sigma70	kbl	+	[TIM]	Strong
Sigma70	kdpA	+	[TIM]	Strong
Sigma70	kdpB	+	[TIM]	Strong
Sigma70	kdpC	+	[TIM]	Strong
Sigma70	kdpF	+	[TIM]	Strong
Sigma70	kdsA	+	[HIPP, TIM]	Weak
Sigma70	kdsB	+	[HIPP, TIM]	Weak
Sigma70	kdsC	+	[HIPP, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	kdsD	+	[TIM]	Strong
Sigma70	lacA	+	[TIM]	Strong
Sigma70	lacI	+	[HIPP, TIM]	Weak
Sigma70	lacY	+	[TIM]	Strong
Sigma70	lacZ	+	[TIM]	Strong
Sigma70	lamB	+	[IMP, TASES]	Weak
Sigma70	lapA	+	[TIM]	Strong
Sigma70	lapB	+	[TIM]	Strong
Sigma70	ldtC	+	[HIPP, TIM]	Weak
Sigma70	leuA	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	leuB	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	leuC	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	leuD	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	leuL	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	leuO	+	[HIPP, TIM]	Weak
Sigma70	leuP	+	[HIPP]	Weak
Sigma70	leuQ	+	[HIPP]	Weak
Sigma70	leuT	+	[CV(FP/TIM), FP, HIPP, IMP, TIM]	Confirmed
Sigma70	leuU	+	[HIPP, TIM]	Weak
Sigma70	leuV	+	[HIPP]	Weak
Sigma70	leuW	+	[HIPP]	Weak
Sigma70	leuX	+	[HIPP]	Weak
Sigma70	leuZ	+	[HIPP]	Weak
Sigma70	lexA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	lgt	+	[TIM]	Strong
Sigma70	livF	+	[HIPP, TIM]	Weak
Sigma70	livG	+	[HIPP, TIM]	Weak
Sigma70	livH	+	[HIPP, TIM]	Weak
Sigma70	livJ	+	[TIM]	Strong
Sigma70	livK	+	[HIPP, TIM]	Weak
Sigma70	livM	+	[HIPP, TIM]	Weak
Sigma70	lldD	+	[TIM]	Strong
Sigma70	lldP	+	[TIM]	Strong
Sigma70	lldR	+	[TIM]	Strong
Sigma70	loiP	+	[HIPP, TIM]	Weak
Sigma70	lolA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	lpd	+	[HIPP, TIM]	Weak
Sigma70	lptA	+	[HIPP, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	lptB	+	[HIPP, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	lptC	+	[HIPP, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	lptD	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	lpxC	+	[HIPP, NTAS, TIM]	Weak
Sigma70	lrp	+	[TIM]	Strong
Sigma70	lspA	+	[CV(FP/RS-EPT-CBR), CV(FP/TIM), FP, HIPP, ICWHO, IDA, RS-EPT-CBR, TIM]	Confirmed
Sigma70	lsrK	+	[AIPP, IEP]	Weak
Sigma70	lsrR	+	[AIPP, IEP]	Weak
Sigma70	lysA	+	[AIPP]	Weak
Sigma70	lysC	+	[HIPP, TIM]	Weak
Sigma70	lysO	+	[HIPP, IMP, TIM]	Weak
Sigma70	lysP	+	[TIM]	Strong
Sigma70	lysR	+	[AIPP]	Weak
Sigma70	lysT	+	[HIPP]	Weak
Sigma70	lysU	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	lysV	+	[HIPP]	Weak
Sigma70	lysW	+	[HIPP]	Weak
Sigma70	lyxK	+	[IMP, TIM]	Weak
Sigma70	malE	+	[GEA, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	malF	+	[GEA, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	malG	+	[GEA, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	malI	+	[TIM]	Strong
Sigma70	malK	+	[IMP, TASES]	Weak
Sigma70	malM	+	[IMP, TASES]	Weak
Sigma70	malP	+	[AIPP, IMP, RS-EPT-CBR]	Weak
Sigma70	malQ	+	[AIPP, IMP, RS-EPT-CBR]	Weak
Sigma70	malS	+	[TIM]	Strong
Sigma70	malT	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	malX	+	[ICA, TIM]	Weak
Sigma70	malY	+	[ICA, TIM]	Weak
Sigma70	manA	+	[TIM]	Strong
Sigma70	manX	+	[HIPP, TIM]	Weak
Sigma70	manY	+	[HIPP, TIM]	Weak
Sigma70	manZ	+	[HIPP, TIM]	Weak
Sigma70	marA	+	[HIPP]	Weak
Sigma70	marB	+	[HIPP]	Weak
Sigma70	marR	+	[HIPP]	Weak
Sigma70	mazE	+	[CV(SM/TIM), HTTIM, SM, TIM]	Confirmed
Sigma70	mazF	+	[CV(SM/TIM), HTTIM, SM, TIM]	Confirmed
Sigma70	mcbA	+	[ICWHO]	Weak
Sigma70	mdh	+	[ICWHO, TIM]	Weak
Sigma70	mdtE	+	[HIPP, TIM]	Weak
Sigma70	mdtF	+	[HIPP, TIM]	Weak
Sigma70	mdtI	+	[TIM]	Strong
Sigma70	mdtJ	+	[TIM]	Strong
Sigma70	melA	+	[IMP, TIM]	Weak
Sigma70	melB	+	[IMP, TIM]	Weak
Sigma70	melR	+	[TIM]	Strong
Sigma70	menA	+	[HIPP, TIM]	Weak
Sigma70	mepH	+	[AIPP]	Weak
Sigma70	metA	+	[TIM]	Strong
Sigma70	metB	+	[TIM]	Strong
Sigma70	metC	+	[AIPP]	Weak
Sigma70	metF	+	[TIM]	Strong
Sigma70	metG	+	[HIPP, HTTIM, TIM]	Weak
Sigma70	metH	+	[HIPP, TIM]	Weak
Sigma70	metI	+	[HIPP, ICA, RS-EPT-CBR]	Weak
Sigma70	metJ	+	[TIM]	Strong
Sigma70	metL	+	[TIM]	Strong
Sigma70	metN	+	[HIPP, ICA, RS-EPT-CBR]	Weak
Sigma70	metQ	+	[HIPP, ICA, RS-EPT-CBR]	Weak
Sigma70	metT	+	[HIPP]	Weak
Sigma70	metU	+	[HIPP]	Weak
Sigma70	metV	+	[HIPP, TIM]	Weak
Sigma70	metW	+	[HIPP, TIM]	Weak
Sigma70	metY	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	metZ	+	[HIPP, TIM]	Weak
Sigma70	mfd	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	mglA	+	[AIPP]	Weak
Sigma70	mglC	+	[AIPP]	Weak
Sigma70	mgrR	+	[TIM]	Strong
Sigma70	mgtA	+	[HIPP, TIM]	Weak
Sigma70	mgtL	+	[HIPP, TIM]	Weak
Sigma70	mgtS	+	[TIM]	Strong
Sigma70	mhpA	+	[HIPP, TIM]	Weak
Sigma70	mhpB	+	[HIPP, TIM]	Weak
Sigma70	mhpC	+	[HIPP, TIM]	Weak
Sigma70	mhpD	+	[HIPP, TIM]	Weak
Sigma70	mhpE	+	[HIPP, TIM]	Weak
Sigma70	mhpF	+	[HIPP, TIM]	Weak
Sigma70	mhpR	+	[HIPP, TIM]	Weak
Sigma70	miaA	+	[HIPP, HTTIM, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	micC	+	[HTTIM, TIM]	Strong
Sigma70	mioC	+	[TIM]	Strong
Sigma70	mlc	+	[HIPP, TIM]	Weak
Sigma70	mltF	+	[AIPP]	Weak
Sigma70	mngR	+	[HIPP]	Weak
Sigma70	mnmG	+	[TIM]	Strong
Sigma70	mntP	+	[TIM]	Strong
Sigma70	mntS	+	[TIM]	Strong
Sigma70	modA	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	modB	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	modC	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	moeA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	moeB	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	mpl	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	mprA	+	[HIPP, TIM]	Weak
Sigma70	mqsA	+	[TIM]	Strong
Sigma70	mqsR	+	[TIM]	Strong
Sigma70	mraY	+	[HIPP, TIM]	Weak
Sigma70	mraZ	+	[HIPP, TIM]	Weak
Sigma70	mreB	+	[HIPP, TIM]	Weak
Sigma70	mreC	+	[HIPP, TIM]	Weak
Sigma70	mreD	+	[HIPP, TIM]	Weak
Sigma70	mrp	+	[TIM]	Strong
Sigma70	msrB	+	[ICWHO, RS-EPT-CBR, TIM]	Weak
Sigma70	mtlA	+	[HIPP]	Weak
Sigma70	mtlD	+	[HIPP]	Weak
Sigma70	mtlR	+	[HIPP]	Weak
Sigma70	mtr	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	mukB	+	[HIPP]	Weak
Sigma70	mukE	+	[HIPP]	Weak
Sigma70	mukF	+	[HIPP]	Weak
Sigma70	murC	+	[HIPP, TIM]	Weak
Sigma70	murD	+	[HIPP, TIM]	Weak
Sigma70	murE	+	[HIPP, TIM]	Weak
Sigma70	murF	+	[HIPP, TIM]	Weak
Sigma70	murG	+	[HIPP, TIM]	Weak
Sigma70	murI	+	[TIM]	Strong
Sigma70	murP	+	[TIM]	Strong
Sigma70	murQ	+	[TIM]	Strong
Sigma70	mutL	+	[HIPP, HTTIM, IDA, RS-EPT-CBR, TIM]	Weak
Sigma70	mzrA	+	[HIPP, TIM]	Weak
Sigma70	nadB	+	[AIPP]	Weak
Sigma70	nadE	+	[HIPP, TIM]	Weak
Sigma70	nagA	+	[TIM]	Strong
Sigma70	nagB	+	[TIM]	Strong
Sigma70	nagC	+	[HIPP, IMP, RS-EPT-CBR, TIM]	Weak
Sigma70	nagE	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	nanA	+	[TIM]	Strong
Sigma70	nanE	+	[TIM]	Strong
Sigma70	nanK	+	[TIM]	Strong
Sigma70	nanT	+	[TIM]	Strong
Sigma70	napA	+	[HIPP, TIM]	Weak
Sigma70	napB	+	[HIPP, TIM]	Weak
Sigma70	napC	+	[HIPP, TIM]	Weak
Sigma70	napD	+	[HIPP, TIM]	Weak
Sigma70	napF	+	[HIPP, TIM]	Weak
Sigma70	napG	+	[HIPP, TIM]	Weak
Sigma70	napH	+	[HIPP, TIM]	Weak
Sigma70	narG	+	[HIPP, TIM]	Weak
Sigma70	narH	+	[HIPP, TIM]	Weak
Sigma70	narI	+	[HIPP, TIM]	Weak
Sigma70	narJ	+	[HIPP, TIM]	Weak
Sigma70	narK	+	[HIPP, TIM]	Weak
Sigma70	narL	+	[HIPP]	Weak
Sigma70	narU	+	[HIPP]	Weak
Sigma70	narX	+	[HIPP]	Weak
Sigma70	ndh	+	[HIPP, TIM]	Weak
Sigma70	nemA	+	[TIM]	Strong
Sigma70	nemR	+	[TIM]	Strong
Sigma70	nfeF	+	[HIPP, IHBCE]	Weak
Sigma70	nfo	+	[HIPP, TIM]	Weak
Sigma70	nfsA	+	[HIPP, TIM]	Weak
Sigma70	nfsB	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	nfuA	+	[AIPP]	Weak
Sigma70	nhaA	+	[TIM]	Strong
Sigma70	nhaR	+	[TIM]	Strong
Sigma70	nirB	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	nirC	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	nirD	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	nlpD	+	[TIM]	Strong
Sigma70	nnr	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma70	nohA	+	[AIPP]	Weak
Sigma70	npr	+	[HIPP]	Weak
Sigma70	nrdA	+	[TIM]	Strong
Sigma70	nrdB	+	[TIM]	Strong
Sigma70	nrdD	+	[TIM]	Strong
Sigma70	nrdE	+	[HIPP, TIM]	Weak
Sigma70	nrdF	+	[HIPP, TIM]	Weak
Sigma70	nrdG	+	[TIM]	Strong
Sigma70	nrdH	+	[HIPP, TIM]	Weak
Sigma70	nrdI	+	[HIPP, TIM]	Weak
Sigma70	nrdR	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	nrfA	+	[IMP, TIM]	Weak
Sigma70	nrfB	+	[IMP, TIM]	Weak
Sigma70	nrfC	+	[IMP, TIM]	Weak
Sigma70	nrfD	+	[IMP, TIM]	Weak
Sigma70	nrfE	+	[IMP, TIM]	Weak
Sigma70	nrfF	+	[IMP, TIM]	Weak
Sigma70	nrfG	+	[IMP, TIM]	Weak
Sigma70	nudB	+	[HIPP]	Weak
Sigma70	nuoA	+	[TIM]	Strong
Sigma70	nuoB	+	[TIM]	Strong
Sigma70	nuoC	+	[TIM]	Strong
Sigma70	nuoE	+	[TIM]	Strong
Sigma70	nuoF	+	[TIM]	Strong
Sigma70	nuoG	+	[TIM]	Strong
Sigma70	nuoH	+	[TIM]	Strong
Sigma70	nuoI	+	[TIM]	Strong
Sigma70	nuoJ	+	[TIM]	Strong
Sigma70	nuoK	+	[TIM]	Strong
Sigma70	nuoL	+	[TIM]	Strong
Sigma70	nuoM	+	[TIM]	Strong
Sigma70	nuoN	+	[TIM]	Strong
Sigma70	nupC	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	nupG	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	nusA	+	[HIPP, HTTIM, IEP, RS-EPT-CBR, TIM]	Weak
Sigma70	nusB	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	obgE	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	ohsC	+	[TIM]	Strong
Sigma70	ompA	+	[TIM]	Strong
Sigma70	ompC	+	[HTTIM, TIM]	Strong
Sigma70	ompN	+	[IC]	Weak
Sigma70	ompR	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	ompX	+	[TIM]	Strong
Sigma70	opgG	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	opgH	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	osmC	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	oxc	+	[HIPP, TIM]	Weak
Sigma70	oxyS	+	[HIPP]	Weak
Sigma70	paaA	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaB	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaC	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaD	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaE	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaF	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaG	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaH	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaI	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaJ	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaK	+	[HIPP, MSI, TIM]	Weak
Sigma70	paaX	+	[HIPP, TIM]	Weak
Sigma70	paaY	+	[HIPP, TIM]	Weak
Sigma70	pabA	+	[IMP, TIM]	Weak
Sigma70	panB	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	panC	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	panD	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	panF	+	[TIM]	Strong
Sigma70	patZ	+	[HTTIM, TASES]	Strong
Sigma70	pck	+	[HIPP, IDA, IMP]	Weak
Sigma70	pcm	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	pcnB	+	[TIM]	Strong
Sigma70	pdeL	+	[HTTIM, IDA]	Strong
Sigma70	pdxJ	+	[HIPP, TIM]	Weak
Sigma70	pepA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	pepD	+	[HIPP, TIM]	Weak
Sigma70	pepP	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	pflA	+	[TIM]	Strong
Sigma70	pflB	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	pgk	+	[HTTIM, IMP, RS-EPT-CBR, TIM]	Strong
Sigma70	pgpA	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	pgpB	+	[TIM]	Strong
Sigma70	pheA	+	[TIM]	Strong
Sigma70	pheL	+	[TIM]	Strong
Sigma70	pheP	+	[TIM]	Strong
Sigma70	pheU	+	[HIPP]	Weak
Sigma70	pheV	+	[HIPP]	Weak
Sigma70	phnC	+	[HIPP, TIM]	Weak
Sigma70	phnD	+	[HIPP, TIM]	Weak
Sigma70	phnE	+	[HIPP, TIM]	Weak
Sigma70	phnF	+	[HIPP, TIM]	Weak
Sigma70	phnG	+	[HIPP, TIM]	Weak
Sigma70	phnH	+	[HIPP, TIM]	Weak
Sigma70	phnI	+	[HIPP, TIM]	Weak
Sigma70	phnJ	+	[HIPP, TIM]	Weak
Sigma70	phnK	+	[HIPP, TIM]	Weak
Sigma70	phnL	+	[HIPP, TIM]	Weak
Sigma70	phnM	+	[HIPP, TIM]	Weak
Sigma70	phnN	+	[HIPP, TIM]	Weak
Sigma70	phnO	+	[HIPP, TIM]	Weak
Sigma70	phnP	+	[HIPP, TIM]	Weak
Sigma70	phoA	+	[HIPP, IMP, MSI, NTAS]	Weak
Sigma70	phoB	+	[HIPP, NTAS]	Weak
Sigma70	phoE	+	[TIM]	Strong
Sigma70	phoH	+	[TIM]	Strong
Sigma70	phoR	+	[HIPP, NTAS]	Weak
Sigma70	phoU	+	[HIPP, IMP, TIM]	Weak
Sigma70	pitB	+	[HIPP]	Weak
Sigma70	pldA	+	[HIPP]	Weak
Sigma70	plsX	+	[ICWHO, TIM]	Weak
Sigma70	pncB	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	pnp	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	pntA	+	[HIPP]	Weak
Sigma70	pntB	+	[HIPP]	Weak
Sigma70	polB	+	[AIPP]	Weak
Sigma70	ppdD	+	[AIPP]	Weak
Sigma70	ppiA	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	ppiD	+	[TIM]	Strong
Sigma70	ppsA	+	[RS-EPT-CBR, TIM]	Strong
Sigma70	preA	+	[HTTIM]	Strong
Sigma70	preT	+	[HTTIM]	Strong
Sigma70	prfA	+	[TIM]	Strong
Sigma70	priB	+	[HTTIM, RS-EPT-CBR]	Strong
Sigma70	prlF	+	[HIPP, RS-EPT-CBR]	Weak
Sigma70	prmA	+	[TIM]	Strong
Sigma70	prmC	+	[TIM]	Strong
Sigma70	proK	+	[HIPP]	Weak
Sigma70	proL	+	[HIPP]	Weak
Sigma70	proM	+	[CV(FP/TIM), FP, HIPP, IMP, TIM]	Confirmed
Sigma70	proP	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma70	proS	+	[TIM]	Strong
