gene,locus_tag in MG1655,gene_type,strand,product,HS_LB,E1114_LB,E1167_LB,H120_LB,TA054_LB,TA447_LB,E101_LB,41-1Ti9_LB,TA280_LB,M114_LB,TA249_LB,JJ1886_LB,CFT073_LB,APECO1_LB,UTI89_LB,S88_LB,MG1655_LB,ROAR8_LB,HS_M9,E1114_M9,E1167_M9,H120_M9,TA054_M9,TA447_M9,E101_M9,41-1Ti9_M9,TA280_M9,M114_M9,TA249_M9,ROAR8_M9,JJ1886_M9,MG1655_M9,HS_GMM,E1114_GMM,E1167_GMM,H120_GMM,TA054_GMM,TA447_GMM,E101_GMM,41-1Ti9_GMM,TA280_GMM,M114_GMM,TA249_GMM,ROAR8_GMM,JJ1886_GMM,CFT073_GMM,APECO1_GMM,UTI89_GMM,S88_GMM,MG1655_GMM,median_LB,median_M9,median_GMM
ecpB,b0292,CDS,-1,putative fimbrial chaperone EcpB,NaN,NaN,0.029124391,0.075238175,-0.097750898,0.050591986,-0.121025235,0.086668818,0.007144082,-0.009153063,-0.165775092,0.21474335,0.014274431,0.009595626,0.41040551,0.060607129,-0.032190551,-0.055688664,NaN,NaN,-0.015970685,0.037079502,0.087883496,0.028846491,-0.088294186,0.091926747,-0.051687164,0.105833527,-0.008718907,0.081095273,0.003528692,0.115947155,NaN,NaN,0.016823361,0.173571157,0.040242632,0.181157051,-0.053968392,0.157067124,-0.000973812,0.017633543,0.082867415,0.022219965,-0.041302466,0.126129147,-0.053444641,0.392893288,-0.063877388,0.039829028,0.011935029,0.032962997,0.031024497
ecpD,b0290,CDS,-1,fimbrial adhesin EcpD,NaN,NaN,-0.138674788,0.231604829,-0.112523416,-0.070174131,0.061808641,0.005735195,0.085889195,0.005223341,-0.474408654,-0.020957329,0.178130282,0.009622166,-0.083947197,-0.019879139,0.057385565,0.030434695,NaN,NaN,0.081153153,0.15144075,-0.101442087,-0.16569976,-0.035462051,-0.073450821,0.207869415,0.196073692,-0.325317723,-0.095091547,-0.20716208,0.283430511,NaN,NaN,-0.007676084,0.177288672,-0.085154597,-0.164972654,-0.114034696,0.16348897,-0.061119486,0.019552051,-0.09316763,0.140134589,-0.246754621,0.085365413,-0.183591392,0.123374652,-0.021620401,-0.124085405,0.005479268,-0.054456436,-0.041369944
ecpE,b0289,CDS,-1,putative fimbrial chaperone EcpE,NaN,NaN,-0.082882674,0.039459505,-0.054601239,-0.09868107,0.030459354,-0.026722905,-0.232596595,-0.119926031,0.140282082,0.087920935,0.072852214,0.05934,0.187787971,-0.115846152,-0.018920268,-0.001610083,NaN,NaN,-0.026199254,-0.101269072,0.000502326,-0.064922978,0.158324782,-0.022414363,-0.212711656,0.02341521,-0.080024177,-0.020652819,-0.006788855,-0.234202227,NaN,NaN,0.048472294,0.113694589,-0.09314072,-0.312482288,-0.026477099,-0.09008405,-0.130360376,-0.106933777,-0.028787561,0.02289788,0.033969109,-0.333844136,-0.02557214,-0.013072236,0.05534885,-0.061729755,-0.010265176,-0.024306809,-0.02763233
ecpR,b0294,CDS,-1,DNA-binding transcriptional dual regulator MatA,-0.006119155,NaN,0.113739596,0.026621558,0.059938697,-0.063829,0.177079727,-0.028045452,-0.02969209,-0.077402903,0.06885689,-0.023678259,0.138012422,-0.214133813,0.22727392,-0.007812834,0.100751376,-0.08786336,0.119074289,NaN,0.040182897,0.042737221,0.088994608,-0.112250561,0.204384511,0.049068487,0.117723583,-0.034518673,0.021871559,0.184486821,-0.209848058,0.224149577,-0.066613198,NaN,0.031092282,-0.032097515,0.062238233,-0.037560214,-0.09365491,-0.066155659,0.047239866,0.097951872,0.055667689,0.045746284,-0.173618082,0.191535775,-0.011519581,0.356760947,0.093659097,-0.035375144,-0.006119155,0.049068487,0.031092282
eda,b1850,CDS,-1,KHG/KDPG aldolase,-0.036942232,0.056318123,-0.244388981,-0.028077493,-0.343185307,-0.238299788,0.253736706,-0.203272992,-0.176529104,-0.09147201,-0.786195361,-0.098114179,-0.091996759,-0.056481462,0.005352781,-0.076194407,-0.036161013,-0.167008277,-0.026555576,-0.585984255,-0.109782879,-0.201699383,-0.178888855,-0.080198466,-0.153551653,-0.296812891,0.119397877,-0.302508439,-0.327786981,0.298631331,-0.647425857,0.272003913,-0.472774521,-0.509944461,-0.975218002,-0.82084917,-1.0659621,-2.061518755,-0.254615944,-0.783877433,-0.632306441,-1.623949517,-1.51184949,-0.001329016,-0.603692796,-0.286368404,-1.731680972,-1.530799619,-2.004630462,-0.332440275,-0.091734385,-0.166220254,-0.802363302
edd,b1851,CDS,-1,phosphogluconate dehydratase,-0.12802224,-0.160100898,-0.073332048,-0.274512774,-0.164198978,-0.017694917,-0.090587203,0.077573764,-0.112271357,-0.01555405,-0.362595019,-0.18742446,0.166405234,-0.070055814,-0.332725945,-0.215224017,-0.10735646,-0.243740689,0.018750434,-0.251644756,0.086893575,-0.233235844,-0.088516168,-0.047637209,-0.315638983,-0.119732515,-0.05484757,-0.024604798,-0.262756898,-0.121076093,-0.254765326,0.094135744,0.096451614,-0.065224497,0.224235677,0.214524395,0.070848283,0.269305519,0.587890682,0.456078113,0.001478235,0.005597706,0.144255546,0.072180589,-0.232071758,0.17850329,0.16108846,-0.168168428,-0.039554074,-0.08334502,-0.120146798,-0.104124342,0.084316101
efeB,b1019,CDS,1,heme-containing peroxidase/deferrochelatase,0.009893769,-0.18095539,0.053918024,0.027775898,-0.017462075,-0.097212198,-0.100702853,0.059017506,0.035861485,-0.062864801,0.439900109,-0.09828662,0.050688371,-0.348610489,-0.164911679,-0.101886109,0.096465181,-0.149149882,-0.133912624,-0.286374913,-0.083678792,-0.168766584,0.01919567,-0.161610828,-0.208871123,0.00035546,0.109994881,-0.091081471,0.405804971,-0.080179574,-0.146981704,0.053978779,0.062146478,-0.056805682,0.102655566,-0.25433315,-0.089836944,0.085741725,-0.028583572,0.189357524,-0.054507997,-0.101458298,0.194409578,0.244630327,-0.209501698,0.201142795,-0.233242959,-0.248569383,-0.108990275,0.042232031,-0.040163438,-0.087380131,-0.041545785
efeO,b1018,CDS,1,ferrous iron transport system protein EfeO,0.045198262,0.656233317,-0.049842248,0.090281612,0.043258954,0.021410825,-0.064121298,0.2282958,0.023443733,-0.001355121,-0.013032233,0.017833067,0.137296466,-0.37876604,-0.279039088,0.078756853,-0.063703287,-0.059496851,0.028799847,0.623558274,-0.262803014,-0.024225913,-0.03193437,-0.150812297,-0.107691114,0.058824565,0.136355128,0.078713772,0.117972749,0.016334947,-0.131599826,-0.054008774,0.11139545,0.671389707,-0.037963356,0.132169828,0.085984151,-0.013107671,-0.07410431,0.150040025,0.038280394,0.061463393,-0.084630916,0.191914044,-0.080044433,0.143138463,0.146217182,-0.111291715,0.126980564,0.066578778,0.019621946,-0.003945483,0.076281465
efeU,b4490,CDS,1,"inactive ferrous iron permease EfeU, N-terminal fragment",0.037701185,0.035942696,-0.124348625,-0.047046761,-0.08507967,-0.05197622,-0.101551668,0.01607596,-0.205240402,-0.148250937,0.08348026,0.012081557,-0.031265239,-0.441591835,-0.405650775,-0.020968407,-0.043383984,0.047994883,-0.063503886,-0.041716462,-0.114506774,-0.175295587,-0.14728277,-0.076794226,-0.018876838,0.028953281,0.097881746,-0.041210184,0.024198835,0.048573015,0.157175779,0.191406418,0.011221718,0.072265524,-0.117155034,-0.070541156,-0.153682735,-0.304388655,0.045390343,0.129509482,-0.161568469,-0.110525538,-0.15496616,0.157733711,-0.111513576,-0.040751609,0.11847594,-0.062797951,0.02290697,0.052150132,-0.045215373,-0.030043511,-0.05177478
efp,b4147,CDS,1,protein chain elongation factor EF-P,-1.371008693,-1.161705732,-0.975343852,-1.236386143,-1.625000877,-1.727426286,-1.080383665,-1.096689419,-1.333391273,-0.776957957,-0.575813686,-0.323240743,-0.40743981,-0.833166693,-0.80033823,-0.833694425,-1.421852954,-0.452570211,-2.27164214,-0.512711672,-1.217653984,-1.337996772,-1.298839106,-1.04330007,-0.667834626,-1.027428348,-0.965005961,-1.508407452,-0.850550646,0.060315936,-0.896468377,-1.547191581,-2.653092546,-2.384480096,-3.287795103,-4.265916838,-3.770908875,-5.560189235,-3.576856882,-3.344235431,-3.87987539,-3.276594705,-4.259273728,-1.561227756,-2.428595226,-0.696088679,-3.688851302,-2.196226372,-3.519060575,-2.664607594,-1.027863759,-1.035364209,-3.316015267
elaA,b2267,CDS,-1,putative N-acetyltransferase ElaA,-0.103097499,-0.157643678,0.031914603,-0.074549786,0.026911605,0.028498272,0.003306065,0.171089184,-0.025590878,-0.091497578,0.048855575,-0.023782278,0.030633846,-0.032543122,0.021217057,-0.035424051,0.234787378,0.015658852,-0.054386258,-0.151012561,0.059134176,-0.065302775,-0.033729727,-0.193473551,-0.276901435,0.01277482,0.094022588,-0.280706428,0.166332571,0.160207623,0.179700377,0.150220572,-0.07792911,-0.073197058,-0.013834535,-0.240699891,-0.093278022,-0.117417621,-0.161910194,-0.148992486,-0.003454437,-0.060463465,0.079685397,0.002165879,0.041729042,-0.037948744,0.058106431,0.06111533,0.082533627,0.07881736,0.009482458,-0.010477454,-0.02589164
elaB,b2266,CDS,-1,tail anchored inner membrane protein,-0.022540301,0.220078698,-0.020849354,0.281625904,-0.042774213,-0.106707742,0.05128933,0.117189283,-0.010543033,-0.039642173,0.041145265,-0.000329047,0.112510684,-0.088358954,-0.02552347,-0.071170278,-0.031493656,0.002363445,0.147631871,0.02081359,-0.171003973,0.112890111,0.047672069,-0.192348358,-0.00910867,0.106653441,0.099506368,0.075336619,0.40872429,0.083726158,-0.022793054,0.0209984,0.152194814,0.294037148,-0.069947607,0.158681836,0.004584488,-0.024940052,0.038908634,0.002085582,0.104417502,0.079581275,0.235924164,0.209735689,-0.084365023,0.14357364,0.143849742,-0.122815582,0.126035053,-0.004802623,-0.015696193,0.061504344,0.091999389
elbB,b3209,CDS,-1,low activity glyoxalase ElbB,-0.099368129,-0.098472491,0.062745537,0.123765911,0.135734457,-0.062421609,0.000341668,0.129621613,-0.103074089,-0.11881462,-0.175398751,-0.023996799,0.140563891,-0.136832891,0.191023666,-0.062712908,0.040872214,-0.139762049,-0.011381723,-0.24750877,-0.128312687,0.292056534,-0.044399386,-0.268990857,-0.039104488,-0.034467056,0.027513735,0.02858283,0.061320414,0.070822959,-0.072388283,0.171073111,-0.12105744,-0.096521871,-0.062447691,0.061388454,-0.076356078,0.129789165,-0.042739285,-0.026014015,-0.14266166,0.086745343,-0.003527526,0.28602019,-0.064220032,0.091320512,-0.094493803,-0.108339964,-0.118746819,-0.185138671,-0.043209204,-0.022924389,-0.063333862
elyC,b0920,CDS,-1,envelope biogenesis factor,0.036910906,0.130457376,-0.048561635,-0.148009444,-0.119156682,0.024054695,0.059834205,0.072013989,0.018971168,-0.054250222,-0.145328572,0.070410333,-0.037391378,-0.059871367,-0.044698745,-0.043896365,0.010875053,0.107298566,0.079767476,0.075378775,-0.060827775,-0.207352551,0.04645995,-0.252925029,-0.088853897,0.003188882,0.153013348,0.088337852,0.042956455,0.114782883,-0.003171484,0.063692683,0.005171342,-0.190250517,0.048613574,-0.151682156,-0.039060361,0.01560133,0.001699201,-0.079986814,-0.022847151,0.020242045,0.062613697,0.314125783,0.04922767,0.075642402,-0.015323104,-0.323113498,-0.073253593,0.029347027,-0.013258163,0.044708203,0.003435271
emrA,b2685,CDS,1,multidrug efflux pump membrane fusion protein EmrA,-1.407089476,-0.59019989,-0.822309756,-0.779020224,-0.699220261,-0.891394341,-0.857848512,-0.600618802,-0.499744476,-0.952904878,-0.689961594,-0.550965457,-0.363371159,-0.473902764,-0.584801365,-0.652868062,-0.45585991,-0.738804318,-0.136342997,-0.049440135,-0.507187207,-0.166371919,-0.320917996,-0.237030112,-0.262572774,-0.574081464,-0.094762402,-0.354663971,-0.729435364,-0.178899811,-0.731158288,-0.171439194,-0.331650236,-0.050191988,-1.041023983,-0.348045974,-0.689923062,-0.680639755,-0.25391849,0.245927863,-0.456686768,-0.734858837,-1.593423886,-0.378696197,-0.517893411,-0.777482612,-1.320997338,-0.43392443,-1.055666789,-0.514051518,-0.671414828,-0.249801443,-0.515972464
emrB,b2686,CDS,1,multidrug efflux pump membrane subunit EmrB,-1.582525874,-0.897523034,-0.776583583,-1.058858585,-0.602301827,-1.075153141,-0.771109049,-0.618955114,-0.419204129,-0.838564588,-0.48482711,-0.547366078,-0.288207986,-0.568730686,-0.575984027,-0.549231018,-0.506777091,-0.412038062,-0.366262506,-0.161228487,-0.398749358,-0.205608435,-0.150239057,0.099032234,-0.093828235,-0.223509978,-0.164434191,-0.09749006,-0.958718259,-0.049212376,-0.629326686,-0.064629739,-0.44588832,-0.30120492,-0.772662601,-0.244283587,-0.507289112,-0.621422496,-0.640501327,0.116686544,-0.328101568,-0.625676475,-1.445868268,-0.325955673,-0.65735099,-0.557868826,-0.975376301,-0.715599351,-0.940740183,-0.728237259,-0.589142927,-0.162831339,-0.623549485
emrD,b3673,CDS,1,multidrug efflux pump EmrD,-0.181477977,-0.175066889,-0.040149107,-0.110459649,-0.235253067,0.00646773,0.011878239,-0.041178007,-0.18155956,0.086362514,-0.342971839,0.032685526,-0.036521231,-0.173260666,-0.518722801,-0.086962552,0.015802258,0.046655646,-0.147291217,-0.216432265,-0.069057899,-0.077700664,-0.200932974,-0.156790948,0.138131664,0.047407981,0.02303462,0.003831876,-0.062409562,0.029901708,0.031103453,-0.051708939,-0.62661998,-0.457161406,-0.461827612,-0.978063789,-0.493466176,-0.901984895,-0.192419838,-0.619298875,-0.506631867,-0.532033932,-0.947813664,-0.444258707,-0.585446146,-0.02098845,-0.589580377,-0.414725925,-0.627868028,-0.146373842,-0.064070279,-0.05705925,-0.5193329
emrK,b2368,CDS,-1,tripartite efflux pump membrane fusion protein EmrK,0.006355678,0.400308464,0.001976274,0.19518834,-0.053221544,-0.165410115,0.089678072,0.166065952,0.013224777,0.04868725,-0.374346905,0.060635902,-0.01566927,0.01237543,-0.065385878,-0.01736966,-0.010082546,-0.163326391,-0.033822152,0.340678183,0.023882501,0.071192676,0.010043444,-0.111672065,0.095328321,-0.014260879,-0.047321302,0.049552199,-0.300428096,0.000550577,-0.098241795,0.08788778,0.013868543,0.309922407,0.082096518,0.325419048,0.101270641,-0.029405398,0.273369717,0.173550032,-0.005267634,-0.008891491,-0.049505765,-0.072006615,0.124293265,-0.027636297,-0.020111769,0.111446142,0.176858278,0.076249293,0.004165976,0.00529701,0.079172905
emrY,b2367,CDS,-1,tripartite efflux pump membrane subunit EmrY,-0.05866715,-0.069358938,-0.069222092,0.012223952,-0.127504693,0.001213725,-0.056470584,0.273693722,-0.025671464,-0.198694763,-0.020173323,-0.085573658,-0.036936428,0.038379447,-0.259090147,0.056901796,0.010057589,0.130141513,-0.044930955,-0.496788534,-0.130727874,0.321512854,-0.073834529,-0.072572023,0.057405404,0.013720251,-0.385572281,-0.014179366,-0.009041804,0.07239317,0.033953783,0.105213792,-0.007545028,0.021839286,0.177479981,-0.136476437,0.001796547,-0.056577187,0.180168554,0.498536674,-0.026010251,-0.023623034,-0.135789992,0.557680538,-0.119197821,-0.148111934,0.093882283,-0.402440098,0.305360019,0.092303148,-0.031303946,-0.011610585,-0.002874241
emtA,b1193,CDS,1,lytic murein transglycosylase E,-0.070633713,0.25539682,0.026191709,0.240066112,0.038457615,-0.148561489,0.005525426,0.10410762,0.059565585,0.053555953,0.812179421,0.037956909,0.088468945,0.007267272,0.004646231,-0.166382094,0.096490189,-0.187348468,0.012727933,0.182157922,-0.100682562,0.136210769,0.040849195,-0.128900707,-0.136051007,-0.107498033,0.001620485,0.026850776,0.842965222,-0.102450747,-0.160710847,-0.041007166,0.063242939,0.245500107,-0.012212529,0.342718772,0.163691951,-0.935873205,-0.159439898,0.336915876,-0.021060493,-0.086711421,0.383818996,0.188522379,-0.039958237,-0.169071447,0.09433412,-0.232748159,0.020610881,0.014938645,0.038207262,-0.01969334,0.017774763
endA,b2945,CDS,1,DNA-specific endonuclease I,-0.08026396,-0.320212254,-0.216681098,-0.62349482,-0.117785244,-0.222334538,-0.671831292,0.09303004,-0.124638044,-0.356474846,-0.373240109,-0.128643632,0.083490186,-0.289887868,-0.347267326,-0.305991466,-0.29122141,-0.00366017,0.212589715,0.211057583,0.177190183,-0.324671156,0.222479223,-0.176179011,-0.066405414,0.212946544,-0.641057557,-0.547247364,-0.081567084,-0.240904549,-0.06313656,0.196819461,-0.118479447,-0.584276045,-0.31592953,-0.764061258,-0.129798715,-0.363743994,-0.050955978,0.603814963,-0.488397826,-0.651231139,-0.460176239,0.377144407,0.021794382,0.010033132,-0.119392255,-0.523008668,-0.464348953,0.046534755,-0.256111203,-0.064770987,-0.222864122
eno,b2779,CDS,-1,enolase,-6.338026184,-6.813849914,-5.983102095,-7.16643742,-6.405950842,-8.308262936,-6.80326631,-7.947606816,-7.056831562,-8.036638011,-4.696834641,-5.622381468,-7.607870531,-6.934856847,-4.110567476,-6.591862289,-7.795819596,-7.633943819,-8.036948095,-7.076672925,-8.406742157,-8.026466241,-8.289595418,-8.173820373,-8.337332079,-8.035821962,-8.13351179,-8.866700052,-8.917588787,-8.074429072,-8.10421186,-8.622704408,-8.07690607,-7.23364001,-8.246333817,-7.88672562,-8.045132379,-8.959054149,-8.219622363,-8.344132102,-8.215448951,-8.743220661,-8.973168255,-8.833367544,-7.887869884,-7.925007486,-8.195849957,-7.005799844,-8.07658644,-8.605688734,-6.874353381,-8.153666081,-8.205649454
entA,b0596,CDS,1,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",-0.149906386,-0.11220315,-0.13960226,-0.08384339,-0.253337255,-0.090767454,-0.104421711,-0.181077458,-0.01888087,-0.185217122,-0.681435761,0.016183795,0.264722461,-0.191762509,0.003174481,0.008885884,0.057304184,-0.341804844,-0.431053996,-0.234811509,-0.585915975,-0.214726623,-0.38281443,-0.322250437,-0.413864993,-0.257543054,-0.038775314,-0.333302437,-0.760932774,-0.173774174,-0.179533541,-0.091058699,-0.084963892,0.002145955,-0.184327323,-0.112068029,-0.203112082,-0.161343881,-0.050138404,0.060758751,-0.048475088,-0.237842731,-0.438845614,0.129418052,-0.035659371,-0.345238734,-0.202498244,-0.065993241,-0.353781837,-0.128748523,-0.10831243,-0.289896746,-0.120408276
entB,b0595,CDS,1,enterobactin synthase component B,-0.181197134,0.19590397,0.044768527,0.054071911,-0.207044247,-0.198359621,0.162234341,-0.053316965,-0.0328953,-0.123695614,-0.284599167,0.024789913,0.033080115,0.072848918,0.208867661,-0.205930643,-0.040497041,-0.12724726,-0.322809424,0.037354968,-0.414632099,-0.131152663,-0.189818618,-0.491173368,-0.302108644,0.004337949,-0.137969073,-0.165440898,-0.213344498,-0.125136229,-0.301494953,-0.268622867,-0.085487428,0.059394889,0.121641803,-0.206059881,-0.115456204,-0.149715001,-0.042441773,0.671655632,-0.203305269,-0.228201686,-0.157367653,-0.045666998,-0.178480885,-0.208811856,0.081110632,-0.260186958,0.095353071,-0.046219433,-0.036696171,-0.201581558,-0.100471816
entC,b0593,CDS,1,isochorismate synthase EntC,-0.044682797,-0.344367789,-0.121454534,-0.087710162,0.044568228,-0.279107341,-0.048035025,-0.086453155,-0.103890916,-0.018204085,-0.086203124,0.156861376,0.070081921,-0.188042138,0.030881113,0.055428086,0.136986462,-0.152588757,-0.337119678,-0.278288916,-0.611768599,-0.539644507,-0.142637684,0.091172002,-0.457417631,-0.135219981,-0.304964512,-0.127410526,-0.205174785,-0.225457141,-0.098483139,-0.29302625,-0.058077595,-0.426897709,-0.1776208,-0.074693048,0.142046394,-0.145943239,0.034249573,0.299551194,-0.065399279,-0.177221276,-0.082681139,0.096208781,0.026767539,-0.034657418,-0.003888882,0.476873293,-0.027428409,0.13701764,-0.067119075,-0.251873028,-0.031042914
entD,b0583,CDS,-1,phosphopantetheinyl transferase EntD,-0.071338373,0.308359954,-0.012331108,-0.009969068,0.008621322,-0.12704628,0.011501416,-0.02634319,0.050219806,-0.100014821,-0.530821246,0.015238559,0.145414919,-0.202579157,-0.221963809,-0.142791983,-0.036557653,-0.145570139,-0.424368346,0.20918318,-0.259267139,-0.389475654,-0.042294881,-0.229205529,-0.153042226,-0.144562916,-0.03211735,-0.113140486,-0.630008047,-0.023475843,0.204354055,-0.186191126,-0.018472086,0.500571048,-0.081492907,0.118469624,-0.030578505,0.113084076,-0.024098824,0.042643729,0.048165431,0.082873102,-0.053973822,0.163363363,-0.133912411,0.030135979,-0.049089921,-0.000654851,-0.17991511,-0.104449626,-0.031450421,-0.148802571,-0.009563468
entE,b0594,CDS,1,"2,3-dihydroxybenzoate-AMP ligase",-0.108881114,0.121624517,-0.039703657,-0.03556446,-0.057123159,-0.159357483,-0.062078245,0.143628019,-0.078107198,-0.12201682,-0.183548619,-0.227711568,-0.084476726,-0.200694076,-0.084889675,-0.044123749,-0.046680527,-0.223316127,-0.343023962,-0.274998093,-0.644440894,-0.512123565,-0.315873954,-0.414683237,-0.429109461,-0.138282809,-0.345273686,-0.459195485,-0.322566419,-0.151407033,-0.577296846,-0.518464041,-0.226913618,0.22042288,-0.12392532,-0.161191932,-0.138159972,-0.312637994,0.113322357,0.287579136,-0.096246165,-0.135429465,-0.264083827,0.091480618,-0.18224049,-0.112706659,-0.169006589,0.422280559,-0.18694258,-0.184185414,-0.081291962,-0.379978462,-0.136794718
entF,b0586,CDS,1,apo-serine activating enzyme,0.058489585,-0.000810955,-0.094573952,-0.133872896,-0.034593644,-0.152854132,0.014715361,-0.023170962,0.047534319,-0.186995693,-0.086529076,-0.258756298,0.043441414,-0.143308728,0.060633037,-0.07714493,0.089710533,-0.197771033,-0.46920578,-0.281747761,-0.591298674,-0.520798537,-0.204317317,-0.061756427,-0.518335326,-0.186984927,0.032762829,-0.180042938,-0.366895351,-0.118303389,-0.12769352,-0.199214351,0.063256979,-0.150451391,-0.136864935,-0.1750584,0.109793533,-0.048038086,-0.190213844,0.209358917,-0.187600018,-0.211463027,0.146648904,-0.429790429,-0.240008236,0.055484017,-0.218263573,-0.745544032,-0.150618377,-0.061442364,-0.055869287,-0.201765834,-0.150534884
entH,b0597,CDS,1,proofreading thioesterase in enterobactin biosynthesis,-0.079147908,-0.242945999,-0.025136511,0.247090748,0.002534352,-0.130008433,-0.08258496,0.042213753,0.067040188,-0.053792505,-0.204729611,-0.085087931,0.217380327,-0.017206301,-0.33984608,-0.027055822,0.062246676,-0.166959235,-0.005331707,-0.376287512,-0.134617364,0.11274608,0.079966371,-0.329410236,-0.007661557,-0.036901428,0.084021345,-0.025330091,0.023412889,0.097001173,-0.033059696,0.136083127,-0.017707533,-0.267767149,-0.050806015,0.217408518,-0.104738738,-0.200557899,0.132831165,0.079132757,-0.133018877,0.132822029,-0.103394568,0.113226846,-0.031638978,0.117344363,0.091363746,-0.054034143,0.084759933,0.122768077,-0.040424163,-0.006496632,0.030712612
entS,b0591,CDS,1,enterobactin exporter EntS,-0.120014383,-0.011944883,-0.17106115,-0.195993649,-0.088036812,-0.154275864,0.05383185,-0.025266332,-0.058661446,-0.030529878,0.180370961,-0.147703763,0.009519493,-0.040696482,0.15496956,-0.143073827,0.075259832,0.005739483,-0.016882965,-0.318000509,-0.275561836,-0.031801304,-0.208559707,-0.459731593,-0.062967207,-0.06903256,-0.698900332,-0.553622016,0.131345037,-0.237590399,-0.092169121,0.085556079,-0.14308079,0.03573584,-0.164912257,-0.004221036,-0.147823547,-0.285723715,-0.172560012,0.00881573,-0.082898953,-0.205921258,0.036047446,0.138420754,-0.040208788,0.099572888,-0.077285622,-0.290466863,0.08673826,-0.012703278,-0.03561318,-0.150364414,-0.058747205
envC,b3613,CDS,1,murein hydrolase activator EnvC,0.055654369,-0.183121212,0.10541175,0.182990497,0.213218256,-0.153831406,-0.029881068,0.15299476,0.147408772,0.065835295,0.061494363,-0.038651497,0.023416239,-0.163806844,0.075715786,0.014280168,0.003212402,-0.002388965,0.125883712,-2.594587582,-0.315137107,-0.351070686,-0.178250475,-0.650837887,-0.082373693,-0.157409864,-0.079558435,-0.290112902,-1.170377457,-0.263823536,-1.663263335,-0.21399621,-0.289173605,-0.737791213,-0.373937947,-0.481149172,-0.026702073,-2.68817194,-1.596806977,-0.673174056,-0.362836838,-0.387390233,-0.520271434,0.141169346,-0.396676342,-0.040645377,-0.154452147,-0.030699509,-0.170159477,-0.043207685,0.039535304,-0.276968219,-0.368387393
envR,b3264,CDS,-1,DNA-binding transcriptional repressor EnvR,0.067856997,0.195749179,-0.07212698,0.3126752,-0.073095434,-0.100968063,0.121494211,0.221569174,NaN,-0.055967468,0.01635987,-0.04850904,0.04973364,0.095560227,-0.016595634,0.193376527,-0.187646828,-0.111926383,0.061546892,0.001043558,-0.187888017,-0.276679331,-0.111992175,-0.150284425,-0.366363695,-0.056883844,NaN,-0.262895965,0.129110359,-2.373215782,-0.155713357,-0.114854208,0.010949803,0.067573544,-0.174655882,-0.054143841,-0.116504913,-0.057316186,-0.180940778,0.251018317,NaN,-0.209839591,0.002230027,-0.075143033,-0.104193346,-0.058840477,-0.274970566,-0.148825236,-0.280071187,-0.099295654,0.01635987,-0.150284425,-0.099295654
envZ,b3404,CDS,-1,sensory histidine kinase EnvZ,-0.532099688,-0.237837618,-0.218330021,-0.261444786,-0.303195884,-0.056778602,-0.414582409,-0.153623146,-0.388674603,-0.197254605,-0.035921062,-0.094170065,-0.098933148,-0.121191369,-0.110603905,-0.172669888,-0.097804958,-0.251609075,-0.331709117,-0.539680315,-0.22907949,-0.238896864,-0.147493643,-0.363423271,-0.067960598,-0.176435432,-0.294158624,-0.043744977,0.243525907,0.039469163,-0.180837289,-0.271526159,-1.494943905,-0.535754643,-0.729876925,-0.5506275,-0.309809719,-0.792113985,-0.931719561,0.034695225,-0.890423532,-0.759133925,-0.47186224,-0.427213513,-0.802262674,-1.037885051,-0.687173865,-1.361768867,-0.412200906,-0.169713249,-0.184962246,-0.204958389,-0.708525395
epd,b2927,CDS,-1,D-erythrose-4-phosphate dehydrogenase,-0.143647369,-0.404831805,-0.209324058,-0.144526668,-0.55976477,-0.572038361,-0.364573328,-0.173610737,-0.294009473,-0.613273836,-0.417933069,-0.388065301,-0.227583931,-0.376713732,-0.423059751,-0.333841837,-0.244983618,-0.542790226,-2.527275069,-1.621233439,-1.387912871,-1.602144774,-1.412485685,-0.552254025,-1.994789295,-1.173206461,-0.905597148,-1.089582164,-1.457976963,-1.828507584,-1.547703251,-0.884545956,-0.778477167,-1.731296077,-1.504076626,-0.532145902,-1.574888151,-2.620660416,-1.511797107,-2.084781895,-1.518336056,-2.253606407,-0.783196487,-1.783273469,-1.50376995,0.255787344,-1.731228492,-1.078165697,-1.133432063,-0.78122225,-0.37064353,-1.435231324,-1.507936866
epmA,b4155,CDS,1,EF-P-lysine lysyltransferase,-0.688972586,-0.99690229,-0.764379991,-0.704841964,-0.896662298,-0.836220981,-0.49670307,-0.552734868,-0.699175591,-0.825558462,-0.562728211,-0.54585343,-0.299524768,-0.440174237,-0.383022922,-0.423024582,-0.707967713,-0.443364805,-0.625290581,-0.091475425,-0.541580379,-0.392758999,-0.19342008,-0.621595352,-0.338944256,-0.267691406,0.029797485,-0.310941697,-0.112240782,-0.165194369,-0.193990982,-0.228397216,-0.518064719,-0.837458448,-0.838186422,-0.933310879,-0.921266189,-1.195725436,-0.631921698,-0.3052165,-1.345846326,-1.059803054,-1.776815196,-0.435709434,-0.751916976,2.085729384,-0.704612384,-0.265740056,-1.107330579,-1.333914979,-0.625850399,-0.248044311,-0.837822435
