b_number	dN/dS	dN	dS
b0801	0.09163	0.0532	0.5809
b0802	0.08345	0.0236	0.2832
b0803	7.17192	0.2081	0.029
b0804	0.16302	0.0623	0.3823
b0805	NA	NA	NA
b0806	0.44842	0.0522	0.1163
b0807	0.07934	0.0411	0.5181
b0808	0.04407	0.0312	0.7073
b0809	0.03255	0.0118	0.3628
b0810	0.01135	0.0022	0.1943
b0811	0.04638	0.0077	0.1671
b0812	0.07977	0.0092	0.115
b0813	0.08631	0.0202	0.234
b0814	0.01257	0.003	0.2404
b0815	0.35268	0.0495	0.1403
b4705	NA	NA	NA
b0817	0.04878	0.013	0.2661
b0818	0.09739	0.0526	0.5397
b0819	0.02205	0.0077	0.3482
b0820	0.01115	0.0062	0.5535
b0821	NA	NA	NA
b0822	0.14801	0.0957	0.6464
b0823	0.02054	0.0246	1.1963
b0824	0.11492	0.0736	0.6402
b0825	0.11958	0.0909	0.7598
b0826	0.08449	0.0869	1.029
b0827	0.10598	0.0679	0.6404
b0828	0.10826	0.0508	0.4692
b0829	0.13835	0.0501	0.3623
b0830	NA	NA	NA
b0831	0.04335	0.0284	0.6546
b0832	0.03596	0.0164	0.4549
b0833	0.17553	0.0897	0.5109
b0834	0.0397	0.0223	0.561
b0835	0.04252	0.0108	0.2534
b0836	0.29221	0.0198	0.0677
b0837	0.19433	0.063	0.3241
b0838	NA	NA	NA
b0839	0.06215	0.02	0.3219
b0840	0.0507	0.0186	0.366
b0841	0.12021	0.0324	0.2693
b0842	0.06935	0.0321	0.4634
b0843	0.54422	0.0605	0.1111
b0844	0.11529	0.0558	0.484
b0845	0.04134	0.0258	0.625
b0846	0.12689	0.0289	0.228
b4417	0.58486	1.478	2.5271
b0847	NA	NA	NA
b0848	0.04435	0.0155	0.3502
b0849	0.21158	0.0386	0.1825
b0850	0.51588	0.0593	0.1149
b0851	0.39459	0.1336	0.3387
b0852	0.05843	0.0146	0.2493
b0853	NA	NA	NA
b0854	0.02651	0.0353	1.3301
b0855	0.03801	0.0427	1.1223
b0856	NA	NA	NA
b0857	0.02945	0.0247	0.8373
b0858	0.04232	0.0157	0.3705
b0859	NA	NA	NA
b0860	NA	NA	NA
b0861	0.01728	0.0108	0.6251
b0862	0.05178	0.028	0.5401
b0863	0.02805	0.0261	0.9292
b0864	0.04435	0.0116	0.2614
b0865	NA	NA	NA
b0866	0.03562	0.0227	0.6361
b0867	0.11408	0.0548	0.4801
b0868	0.02899	0.0124	0.4279
b0869	0.08989	0.0829	0.9219
b0870	0.07211	0.0548	0.7602
b0871	NA	NA	NA
b0872	0.08342	0.0592	0.71
b0873	0.03089	0.021	0.6811
b0874	0.0399	0.02	0.5022
b0875	0.07007	0.0298	0.4249
b0876	0.03342	0.0166	0.4957
b0877	0.05511	0.0205	0.3711
b0878	0.13895	0.0558	0.4014
b0879	0.065	0.0191	0.2938
b0880	0.23913	0.7893	3.3009
b0881	0.4044	0.0167	0.0413
b0882	0.00396	0.0035	0.8763
b0883	0.0001	0	0.0003
b0884	0.11913	0.0073	0.0616
b0885	0.08405	0.0306	0.3644
b0886	0.13121	0.0523	0.3984
b0887	0.09407	0.041	0.4363
b0888	0.03576	0.0144	0.402
b0889	0.0245	0.0029	0.1196
b0890	NA	NA	NA
b0891	0.06484	0.0157	0.2417
b0892	0.0399	0.018	0.4509
b0893	0.00777	0.0034	0.4348
b0894	0.03621	0.0287	0.7919
b0895	0.03775	0.0209	0.5527
b0896	0.12026	0.0543	0.4515
b0897	0.03716	0.0206	0.5552
b0898	0.05966	0.0191	0.3197
b0899	0.04884	0.0205	0.4193
b0900	NA	NA	NA
b0901	NA	NA	NA
b0902	0.04825	0.0155	0.3215
b0903	0.04692	0.0096	0.2056
b0904	0.00959	0.0018	0.1873
b0905	0.03772	0.0216	0.5718
b0906	0.04388	0.0288	0.6572
b0907	0.06018	0.0367	0.6106
b0908	0.09911	0.0355	0.3583
b0909	0.07056	0.0339	0.4807
b0910	0.04443	0.0138	0.3106
b0911	0.03	0.0024	0.0788
b0912	0.18573	0.0093	0.0503
b0913	0.56179	0.0777	0.1382
b0914	0.03763	0.0125	0.3312
b0915	0.22554	0.062	0.275
b0916	NA	NA	NA
b0917	0.15795	0.0326	0.2061
b0918	0.10528	0.0439	0.4174
b0919	NA	NA	NA
b0920	0.08548	0.0275	0.3217
b0921	0.07005	0.0092	0.131
b0922	0.0474	0.0161	0.3403
b0923	0.07512	0.0239	0.3175
b0924	0.02716	0.0169	0.622
b0925	NA	NA	NA
b0926	0.01503	0.0025	0.1696
b0927	0.09655	0.0247	0.2558
b0928	0.05991	0.0178	0.2978
b0929	0.04039	0.0432	1.0708
b0930	0.03141	0.0094	0.2979
b0931	0.12882	0.0382	0.2962
b0932	0.06532	0.0424	0.6497
b0933	0.09794	0.0945	0.9652
b0934	0.04462	0.0297	0.6659
b0935	0.08802	0.0608	0.6903
b0936	0.0988	0.0955	0.9668
b0937	0.09546	0.0965	1.0107
b0938	NA	NA	NA
b0939	0.06941	0.0486	0.6996
b0940	NA	NA	NA
b0941	NA	NA	NA
b0942	NA	NA	NA
b0943	NA	NA	NA
b0944	0.32477	0.7184	2.2119
b0945	0.03325	0.0121	0.3629
b0946	0.0823	0.0288	0.3494
b0947	0.15641	0.0546	0.349
b0948	0.05393	0.025	0.4644
b0949	0.04227	0.0284	0.6722
b0950	0.04677	0.0193	0.4118
b0951	0.04277	0.0103	0.2415
b0952	0.12878	0.0464	0.3602
b0953	NA	NA	NA
b0954	0.03228	0.0114	0.3538
b0955	0.15322	0.0376	0.2452
b0956	0.11395	0.0202	0.1769
b0957	NA	NA	NA
b0958	0.0854	0.018	0.2103
b0959	0.27535	0.0268	0.0973
b0960	0.05454	0.0163	0.2986
b0961	NA	NA	NA
b0962	0.10488	0.0389	0.3706
b0963	0.04927	0.0153	0.3101
b0964	0.04796	0.0061	0.1273
b0965	0.02503	0.0141	0.5621
b0966	0.0001	0	0.0964
b0967	NA	NA	NA
b0968	NA	NA	NA
b0969	0.08305	0.0258	0.3102
b0970	0.03428	0.0122	0.3562
b0971	0.0001	0	0.0429
b0972	NA	NA	NA
b0973	0.01499	0.0132	0.8784
b0974	0.04864	0.0273	0.5604
b0975	0.12978	0.0882	0.6799
b0976	0.09733	0.0632	0.6491
b0977	0.16582	0.071	0.4279
b0978	0.04763	0.0148	0.3106
b0979	0.04397	0.0215	0.4879
b4592	NA	NA	NA
b0980	0.19039	0.0861	0.4523
b0981	0.17081	0.0531	0.3107
b0982	0.06111	0.0097	0.1592
b0983	0.02791	0.0057	0.2043
b0984	NA	NA	NA
b0985	0.73301	1.0751	1.4666
b0986	NA	NA	NA
b0987	0.16482	4.0341	24.4754
b4516	0.56564	1.5077	2.6656
b0988	0.12805	4.0827	31.8836
b0989	0.09769	0.0283	0.2894
b0990	0.06373	0.0127	0.1994
b0991	0.70563	2.3561	3.3391
b4517	NA	NA	NA
b0992	9.3227	0.2919	0.0313
b0993	NA	NA	NA
b0994	0.1449	0.0844	0.5823
b0995	0.07353	0.0326	0.4438
b0996	0.05362	0.0295	0.5494
b0997	0.11434	0.0556	0.4864
b0998	0.31944	0.1472	0.4609
b0999	0.07272	0.0199	0.2743
b1000	0.02031	0.0057	0.2828
b1001	NA	NA	NA
b1002	0.10703	0.0803	0.7498
b1003	0.13667	0.0129	0.0945
b1004	0.07206	0.02	0.2774
b4518	NA	NA	NA
b1006	999	0.0664	0.0001
b1007	0.06898	0.0423	0.6127
b1008	0.14972	0.0784	0.5236
b1009	0.2426	0.1082	0.4459
b1010	0.23669	0.1277	0.5395
b1011	0.0958	0.0575	0.6005
b1012	0.07069	0.0419	0.5926
b1013	0.05952	0.0385	0.6471
b1014	0.04311	0.0364	0.8452
b1015	0.02384	0.0237	0.995
b4490	0.02138	0.0118	0.5507
b1018	0.07516	0.0435	0.5782
b1019	0.06959	0.0626	0.8995
b1020	NA	NA	NA
b1021	NA	NA	NA
b1022	0.11385	0.028	0.2464
b1023	NA	NA	NA
b1024	0.33173	0.0659	0.1988
b1025	0.26009	0.1216	0.4674
b1026	0.06476	0.9125	14.0898
b1027	NA	NA	NA
b1028	NA	NA	NA
b1029	NA	NA	NA
b1032	3.32834	0.1223	0.0368
b1033	0.0001	0.0001	0.5575
b1034	0.13904	0.0671	0.4825
b1035	0.10271	0.0316	0.3082
b1036	0.10781	0.0409	0.3796
b1037	NA	NA	NA
b1038	0.03634	0.012	0.329
b1039	0.01304	0.0034	0.2634
b1040	0.0926	0.0095	0.1027
b1041	0.32604	0.031	0.095
b1042	0.05361	0.0495	0.9225
b1043	0.64555	0.0794	0.1229
b1044	NA	NA	NA
b1045	0.08526	0.0223	0.2615
b1046	0.08354	0.0348	0.4168
b1047	0.03528	0.0156	0.4431
b1048	0.02722	0.007	0.2572
b1049	0.02045	0.0112	0.549
b1050	0.3342	1.4341	4.291
b1051	0.18042	0.0453	0.2509
b1053	0.03049	0.0141	0.4621
b1054	0.09939	0.0205	0.2058
b1055	0.07578	0.0425	0.5609
b1056	0.09834	0.0467	0.4744
b1057	0.20897	0.0537	0.2569
b1058	0.04604	2.1296	46.255
b1059	0.10064	0.0426	0.4237
b1060	0.29333	0.0158	0.0539
b1061	0.03636	0.0061	0.1669
b1062	0.05487	0.0326	0.5942
b1063	0.13135	0.0337	0.2566
b1064	0.10295	0.0233	0.2264
b1065	0.01906	0.008	0.4197
b1066	0.05103	0.0096	0.1875
b1067	0.1275	0.0564	0.4421
b1068	0.13272	0.0697	0.5255
b1069	0.03745	0.0186	0.4955
b1070	NA	NA	NA
b1071	0.19906	0.0833	0.4186
b1072	0.13511	0.0758	0.5611
b1073	0.1375	0.0376	0.2736
b1074	0.03323	0.0112	0.3364
b1075	0.07942	0.0371	0.4673
b1076	0.01601	0.0053	0.3313
b1077	0.14002	0.0786	0.5615
b1078	0.01835	0.009	0.4887
b1079	0.04845	0.0144	0.2982
b1080	0.02949	0.014	0.4733
b1081	0.11744	0.0472	0.4019
b1082	0.0959	0.0473	0.4936
b1083	0.05509	0.0424	0.769
b1084	NA	NA	NA
b1085	NA	NA	NA
b1086	0.05596	0.0229	0.4087
b1087	0.12607	0.0264	0.2094
b4418	NA	NA	NA
b1088	0.42085	0.0093	0.0221
b1089	NA	NA	NA
b1090	0.09002	0.0094	0.1049
b1091	0.03619	0.0131	0.3633
b1092	0.0612	0.0229	0.3741
b1093	0.06347	0.6821	10.746
b1094	NA	NA	NA
b1095	0.04081	0.0084	0.2065
b1096	0.26135	0.0515	0.197
b1097	NA	NA	NA
b1098	0.05429	0.0223	0.4104
b1099	0.16761	0.044	0.2624
b1100	0.30385	0.04	0.1317
b1101	0.04096	0.005	0.1216
b1102	NA	NA	NA
b1103	0.04312	0.0116	0.2688
b1104	0.91224	0.0533	0.0585
b1105	0.02138	0.0071	0.333
b1106	0.21109	0.0431	0.2043
b1107	0.11696	0.0553	0.4728
b1108	0.02431	0.0122	0.5029
b1109	0.03585	0.0151	0.4216
b1110	0.12341	0.0287	0.2327
b1111	0.15297	0.0411	0.2686
b1112	0.08373	0.013	0.1553
b1113	0.06715	0.0303	0.4512
b1114	NA	NA	NA
b1115	0.0001	0.0014	13.8544
b1116	0.16399	0.0122	0.0745
b1117	0.0196	0.0177	0.9042
b1118	NA	NA	NA
b1119	0.16962	0.0445	0.2622
b1120	0.01345	0.01	0.7458
b1121	NA	NA	NA
b1122	0.20894	0.2044	0.9782
b1123	0.02435	0.0168	0.6891
b1124	0.01389	0.0056	0.4061
b1125	0.08647	0.0742	0.8582
b1126	0.05645	0.0155	0.275
b1127	0.05351	0.0185	0.3459
b1128	0.03911	0.0206	0.5276
b1129	0.06524	0.0205	0.3148
b1130	0.0417	0.0206	0.494
b1131	0.03513	0.0186	0.5288
b1132	0.01344	0.0059	0.4411
b1133	0.05304	0.0201	0.379
b1134	0.05278	0.0383	0.7265
b1135	NA	NA	NA
b1136	0.0187	0.0134	0.7154
b1137	NA	NA	NA
b1138	NA	NA	NA
b1139	NA	NA	NA
b1140	0.07842	1.7588	22.4293
b1141	1.03636	4.6909	4.5263
b1143	NA	NA	NA
b1144	2.70122	15.3393	5.6787
b1145	NA	NA	NA
b1146	NA	NA	NA
b1147	NA	NA	NA
b1148	NA	NA	NA
b4692	NA	NA	NA
b4693	0.64233	2.3091	3.5949
b1150	NA	NA	NA
b1151	NA	NA	NA
b1152	NA	NA	NA
b1153	0.3871	1.3556	3.5019
b1154	NA	NA	NA
b1155	0.91753	5.8409	6.366
b1156	0.1938	1.9979	10.3089
b1157	NA	NA	NA
b1158	0.70954	10.6433	15.0002
b1159	0.11218	0	0
b4519	NA	NA	NA
b1160	NA	NA	NA
b1161	0.12925	0.0765	0.5917
b1162	NA	NA	NA
b1163	0.20959	0.0792	0.378
b1164	0.22643	0.076	0.3356
b1165	0.86249	6.0432	7.0067
b1166	0.42827	2.1238	4.959
b1167	0.17656	2.1332	12.0819
b1168	0.28926	0.1167	0.4036
b4520	0.207	42.6649	206.1073
b4491	NA	NA	NA
b1171	NA	NA	NA
b1172	NA	NA	NA
b4593	NA	NA	NA
b4594	NA	NA	NA
b4521	NA	NA	NA
b1174	0.0001	0	0.191
b1175	0.04222	0.0071	0.168
b1176	0.09888	0.0168	0.1704
b1177	0.32912	0.1056	0.3208
b1178	0.09206	0.0278	0.3025
b1179	0.07644	0.0262	0.3423
b1180	0.09366	0.023	0.245
b1181	0.77161	1.0851	1.4063
b1182	NA	NA	NA
b1183	0.16517	0.0313	0.1896
b1184	NA	NA	NA
b1185	0.21209	0.0448	0.2114
b1186	0.03912	0.0223	0.569
b1187	0.02707	0.0061	0.226
b1188	0.03232	0.0121	0.3736
b1189	0.03992	0.0195	0.4888
b1190	0.08867	0.0425	0.4798
b1191	0.02206	0.0122	0.5539
b1192	0.18752	0.0783	0.4173
b1193	0.02919	0.0086	0.2958
b1194	0.33539	0.1048	0.3125
b1195	0.14854	0.0427	0.2873
b1196	NA	NA	NA
b1197	NA	NA	NA
b1198	0.23029	0.0854	0.3706
b1199	0.15633	0.0636	0.4071
b1200	NA	NA	NA
b1201	NA	NA	NA
b1202	0.22455	0.0599	0.2669
b1203	    -nan	0	0
b1204	0.13871	0.0267	0.1922
b1205	0.04612	0.0059	0.128
b1206	NA	NA	NA
b1207	0.0236	0.0016	0.0678
b1208	0.16088	0.0409	0.2541
b1209	0.05858	0.0351	0.5985
b1210	0.05088	0.0314	0.6178
b1211	0.0284	0.0102	0.3593
b1212	0.1779	0.0526	0.2956
b1213	0.18201	0.047	0.2581
b1214	NA	NA	NA
b1215	0.02825	0.0092	0.3257
b4419	0.49247	0.1192	0.2421
b4420	0.34649	18.4591	53.275
b4421	NA	NA	NA
b4422	0.51559	11.2888	21.8949
b4423	0.65682	0.132	0.2009
b4424	NA	NA	NA
b1216	0.33749	0.0433	0.1284
b1217	0.07243	0.0204	0.2816
b1218	NA	NA	NA
b1219	0.13946	0.0358	0.2563
b1220	0.10348	0.0432	0.4172
b1221	0.02532	0.0087	0.3436
b1222	NA	NA	NA
b1223	0.0203	0.0063	0.3084
b1224	0.02179	0.0141	0.6458
b1225	NA	NA	NA
b1226	0.08888	0.0344	0.3869
b1227	NA	NA	NA
b4425	NA	NA	NA
b1229	0.80562	1.1188	1.3888
b1230	999	0.0002	0
b1231	1.33422	0.0001	0.0001
b1232	0.05175	0.0218	0.4219
b1233	NA	NA	NA
b1234	0.05116	0.0156	0.3042
b1235	0.04783	0.0096	0.2012
b1236	0.03058	0.0065	0.2109
b1237	0.06408	0.0098	0.1527
b1238	0.1193	0.0187	0.157
b4573	NA	NA	NA
b1241	0.02552	0.0071	0.278
b1242	0.0296	0.008	0.2702
b1243	NA	NA	NA
b1244	0.00885	0.0032	0.3645
b1245	0.04061	0.0091	0.225
b1246	0.08758	0.0229	0.262
b1247	0.0286	0.0143	0.4995
b1248	0.10651	0.0167	0.1571
b1249	0.01148	0.0051	0.4456
b4595	NA	NA	NA
b1250	0.03019	0.0072	0.2387
b1251	0.09407	0.0157	0.1671
b1252	0.12556	0.0442	0.3516
b1253	0.01887	0.0044	0.2305
b1254	0.06181	0.0156	0.2519
b1255	0.15262	0.0357	0.2342
b1256	0.00255	0.2968	116.198
b1257	0.16875	0.0618	0.3663
b1258	0.5168	0.3182	0.6158
b1259	NA	NA	NA
b1260	0.09153	0.0886	0.9683
b1261	0.0195	0.0164	0.8402
b1262	0.15596	0.0848	0.5435
b1263	0.02515	0.0238	0.9474
b1264	NA	NA	NA
b1265	NA	NA	NA
b1266	0.13164	0.0852	0.6475
b1267	0.01959	0.0203	1.036
b1268	NA	NA	NA
b1269	0.02371	0.0173	0.7287
b1270	0.05323	0.0757	1.4223
b1271	0.17194	0.0475	0.276
b1272	0.04382	0.0254	0.5801
b1273	0.10346	0.0169	0.1631
b1274	NA	NA	NA
b1275	0.01923	0.0061	0.3189
b4522	NA	NA	NA
b4523	NA	NA	NA
b1276	0.04879	0.0165	0.3392
b1277	0.02673	0.0026	0.0979
b1278	0.10728	0.0291	0.2711
b1279	0.29638	0.049	0.1653
b1280	0.02514	0.0101	0.4035
b1281	0.20718	0.0539	0.2601
b1282	0.15508	0.0481	0.3101
b1283	0.04628	0.0145	0.3125
b1284	0.08141	0.0294	0.3616
b4596	0.06785	0.0084	0.1245
b1285	0.19635	0.054	0.2748
b4672	7.96303	136.9047	17.1925
b1286	0.01023	0.0028	0.2726
b1287	0.37835	0.1267	0.3349
b1288	0.04409	0.0091	0.206
b1289	NA	NA	NA
b1290	0.01155	0.0042	0.3666
b1291	0.00586	0.0028	0.4781
b1292	0.02003	0.0101	0.5022
b1293	0.09572	0.0299	0.3121
b1294	0.03523	0.0213	0.604
b1295	0.17246	0.0552	0.3201
b1296	0.03472	0.0293	0.8429
b1297	0.05617	0.0157	0.2788
b1298	NA	NA	NA
b1299	0.01957	0.0024	0.125
b1300	0.07466	0.0719	0.9629
b1301	0.02288	0.0347	1.5175
b1302	NA	NA	NA
b1303	0.05393	0.0351	0.651
b1304	0.0696	0.0372	0.5339
b1305	NA	NA	NA
b1306	0.22279	0.0538	0.2415
b1307	NA	NA	NA
b1308	0.11719	0.0277	0.2366
b1309	NA	NA	NA
b1310	0.04527	0.0451	0.9961
b1311	0.0348	0.0306	0.8802
b1312	0.06553	0.0787	1.2005
b1313	0.07293	0.0797	1.0933
b1314	0.06721	0.0741	1.1029
b1315	0.08066	0.0684	0.8484
b1316	0.17761	0.2282	1.2848
b1317	0.1398	0.1148	0.8208
b4524	0.38895	0.0949	0.2439
b1319	0.1833	0.085	0.4639
b1320	0.0739	0.0758	1.0258
b1321	0.02541	0.0278	1.0935
b1322	0.047	0.0247	0.5261
b1323	0.02886	0.0132	0.4565
b1324	0.15952	0.0259	0.1625
b1325	0.12635	0.0658	0.5206
b1326	0.09803	0.0325	0.3315
b4525	0.36056	0.0755	0.2093
b4673	1.12488	56.3074	50.0562
b1327	NA	NA	NA
b1328	NA	NA	NA
b1329	0.03695	0.0166	0.4499
b1330	NA	NA	NA
b1331	0.10067	0.0095	0.0939
b1332	NA	NA	NA
b1333	0.11421	0.0277	0.2422
b1334	0.014	0.0037	0.2678
b1335	0.08439	0.038	0.4507
b1336	0.13909	0.0462	0.3324
b1337	NA	NA	NA
b1338	1.0167	1.4333	1.4098
b1339	0.20803	0.9191	4.418
b4426	NA	NA	NA
b1340	0.12481	0.0397	0.3183
b1341	NA	NA	NA
b1342	0.02034	0.0078	0.383
b4699	NA	NA	NA
b1343	0.14335	0.0601	0.4195
b1344	0.05097	0.0211	0.4135
b1345	NA	NA	NA
b1346	NA	NA	NA
b1347	NA	NA	NA
b1348	NA	NA	NA
b1349	NA	NA	NA
b1350	NA	NA	NA
b1351	NA	NA	NA
b4526	NA	NA	NA
b1352	NA	NA	NA
b1353	0.72309	10.5738	14.6231
b4527	0.84314	2.0994	2.49
b1355	NA	NA	NA
b1356	NA	NA	NA
b1357	NA	NA	NA
b1358	NA	NA	NA
b1359	0.98182	0.9459	0.9634
b1360	0.08438	0.3008	3.565
b1361	NA	NA	NA
b1362	0.44288	0.8623	1.9469
b4528	NA	NA	NA
b1363	0.13227	0.0086	0.0651
b1365	NA	NA	NA
b1366	NA	NA	NA
b1368	NA	NA	NA
b4570	NA	NA	NA
b1370	1.1587	1.3057	1.1268
b1372	NA	NA	NA
b1373	0.14948	0.3111	2.0812
b1374	NA	NA	NA
b1375	0.5165	3.9821	7.7098
b4638	NA	NA	NA
b1376	0.05362	0.0069	0.128
b1377	0.18602	0.1919	1.0317
b4427	29.36451	45.8872	1.5627
b1378	0.0396	0.0276	0.6958
b4529	NA	NA	NA
b1379	0.33082	0.0982	0.2968
b1380	0.02415	0.0088	0.3653
b1381	NA	NA	NA
b1382	0.05155	0.0745	1.445
b1383	NA	NA	NA
b1384	0.17434	0.0992	0.5691
b1385	999	0.0002	0
b1386	0.88107	1.2492	1.4179
b1387	0.1399	0.0281	0.2008
b1388	0.07572	0.0141	0.186
b1389	NA	NA	NA
b1390	NA	NA	NA
b1391	NA	NA	NA
b1392	0.15613	0.0242	0.1549
b1393	NA	NA	NA
b1394	0.21164	0.0212	0.1001
b1395	NA	NA	NA
b1396	0.72349	3.3046	4.5676
b1397	0.07928	0.0113	0.143
b1398	NA	NA	NA
b1399	0.11745	0.0235	0.2001
b1400	0.18706	0.1525	0.8152
b4674	NA	NA	NA
b4492	NA	NA	NA
b1402	0.10343	0.0102	0.0985
b1403	0.24724	0.0654	0.2646
b1404	NA	NA	NA
b1406	0.1389	0.1431	1.0304
b1407	0.9511	1.1129	1.1701
b1408	0.22963	0.1612	0.7018
b1409	0.19664	0.1125	0.572
b1410	NA	NA	NA
b1411	0.18667	0.0764	0.4094
b1412	1.28959	1.3981	1.0841
b1413	0.03668	0.0357	0.9745
b1414	0.10677	0.0569	0.5332
b1415	0.14766	0.0663	0.4491
b4493	NA	NA	NA
b1418	0.1526	0.0681	0.4461
b4597	NA	NA	NA
b1419	NA	NA	NA
b4428	NA	NA	NA
b1420	NA	NA	NA
b4429	NA	NA	NA
b1421	NA	NA	NA
b1422	0.08823	0.0341	0.3869
b1423	NA	NA	NA
b1424	0.02769	0.0101	0.3653
b1426	0.50391	0.0429	0.0851
b1427	NA	NA	NA
b1428	0.24871	0.1078	0.4335
b1429	0.15906	0.0446	0.2802
b1430	0.18078	0.083	0.4593
b1431	0.02364	0.0072	0.3043
b4578	NA	NA	NA
b1432	NA	NA	NA
b1433	NA	NA	NA
b1434	0.22307	0.085	0.3812
b1435	NA	NA	NA
b1436	0.15026	0.0118	0.0786
b4532	NA	NA	NA
b1438	0.27845	0.1339	0.4809
b1439	0.11671	0.0513	0.4399
b1440	NA	NA	NA
b1441	NA	NA	NA
b1442	NA	NA	NA
b1443	NA	NA	NA
b1444	0.06248	0.0324	0.518
b4598	NA	NA	NA
b1445	0.17741	0.0342	0.1926
b1446	NA	NA	NA
b1447	0.16324	0.0605	0.3705
b1448	0.08591	0.0467	0.5441
b1449	0.08683	0.0514	0.5921
b1450	NA	NA	NA
b1451	NA	NA	NA
b1452	0.08504	0.0413	0.4862
b1453	0.05059	0.0384	0.7589
b1454	0.1463	0.1522	1.04
b1455	NA	NA	NA
b1456	NA	NA	NA
b1457	NA	NA	NA
b1459	NA	NA	NA
b1460	NA	NA	NA
b1461	NA	NA	NA
b1462	0.09981	0.1187	1.189
b1463	    -nan	0	0
b1464	0.15216	0.1867	1.2273
b1465	0.07537	0.1218	1.6162
b1466	0.14337	0.0887	0.6187
b1467	0.02736	0.0312	1.1411
b1468	0.04752	0.0417	0.8782
b1469	0.0714	0.0289	0.4043
b1471	NA	NA	NA
b1472	NA	NA	NA
b1473	0.06237	0.035	0.5614
b1474	NA	NA	NA
b1475	0.04039	0.0106	0.2625
b1476	0.03502	0.0155	0.4426
b1477	NA	NA	NA
b1478	0.04507	0.0346	0.768
b1479	0.0203	0.0167	0.8214
b1480	0.0001	0	0.3242
b1481	0.17473	0.0251	0.1435
b1482	0.03749	0.0121	0.3233
b1483	0.17909	0.094	0.5251
b1484	NA	NA	NA
b1485	0.07141	0.6178	8.6514
b1486	NA	NA	NA
b1487	0.08586	0.0363	0.4233
b1488	NA	NA	NA
b1489	NA	NA	NA
b1490	NA	NA	NA
b1491	0.05888	0.035	0.5937
b1492	0.06527	0.0208	0.3194
b1493	NA	NA	NA
b1494	0.24318	0.0881	0.3624
b1495	0.13899	0.0456	0.3279
b1496	0.80424	1.276	1.5866
b1497	0.14014	0.0666	0.4752
b1498	0.13698	0.0744	0.5432
b1499	NA	NA	NA
b1500	NA	NA	NA
b1501	0.06223	0.0367	0.5893
b1502	0.14105	0.1124	0.7966
b1503	0.4967	0.1617	0.3255
b1504	0.27132	0.1508	0.5557
b1505	0.1314	0.1155	0.8791
b1506	NA	NA	NA
b1507	NA	NA	NA
b1508	NA	NA	NA
b4696	NA	NA	NA
b1511	NA	NA	NA
b1512	0.78958	3.2484	4.114
b1513	NA	NA	NA
b1514	0.04617	0.0938	2.0305
b1515	0.03696	0.0663	1.7931
b1516	0.04774	0.0672	1.4078
b1517	NA	NA	NA
b1518	NA	NA	NA
b1519	0.20026	0.0982	0.4903
b1520	0.20173	0.1363	0.6756
b1521	0.04974	0.0274	0.5507
b1522	0.11347	0.0332	0.293
b1523	0.17114	0.0714	0.417
b1524	0.02095	0.0092	0.4398
b1525	0.11744	0.0574	0.489
b1526	0.13372	0.066	0.4937
b1527	NA	NA	NA
b1528	0.04644	0.0249	0.5372
b1529	0.04813	0.0195	0.4049
b1530	0.08455	0.0201	0.238
b1531	0.03536	0.0061	0.1712
b1532	0.45946	0.2423	0.5273
b1533	0.04632	0.0443	0.9574
b1534	0.1315	0.0981	0.7457
b4599	NA	NA	NA
b4698	NA	NA	NA
b1535	NA	NA	NA
b1536	NA	NA	NA
b1537	0.32668	0.0539	0.1651
b1538	0.10147	0.0607	0.598
b1539	0.03643	0.0154	0.4219
b1540	0.07225	0.0159	0.22
b1541	NA	NA	NA
b1542	NA	NA	NA
b4600	0.59724	0.1724	0.2887
b1544	NA	NA	NA
b1545	2.38784	1.1065	0.4634
b1546	NA	NA	NA
b1547	0.36708	1.0289	2.8031
b1548	0.16872	0.4203	2.491
b4533	NA	NA	NA
b1549	0.42776	0.033	0.0772
b1550	NA	NA	NA
b1551	NA	NA	NA
b1552	1.46282	1.3487	0.922
b1553	1.46553	4.963	3.3865
b4689	68.92743	196.4677	2.8504
b1554	NA	NA	NA
b1555	0.18521	2.7286	14.7326
b1556	0.13787	0.235	1.7046
b1557	0.38682	0.0244	0.063
b1558	0.35016	0.0842	0.2406
b1559	2.88955	3.8479	1.3317
b1560	NA	NA	NA
b1561	NA	NA	NA
b1562	NA	NA	NA
b1563	NA	NA	NA
b1564	NA	NA	NA
b1565	0.73244	4.3477	5.9359
b1566	NA	NA	NA
b1567	NA	NA	NA
b1568	0.2217	2.5385	11.45
b1569	NA	NA	NA
b1570	0.21848	4.4193	20.2273
b1571	0.22986	2.4895	10.8304
b1572	0.04974	36.1206	726.241
b1573	NA	NA	NA
b1574	NA	NA	NA
b1575	NA	NA	NA
b1576	0.41419	20.2544	48.9014
b1577	NA	NA	NA
b1578	NA	NA	NA
b1579	0.03109	2.5054	80.5862
b1580	NA	NA	NA
b1581	0.03255	0.0782	2.4011
b1582	0.17358	0.0847	0.4879
b1583	0.28476	0.0421	0.1478
b1584	0.03643	0.0095	0.2607
b1585	0.06484	0.0347	0.5348
b1586	0.42931	0.1009	0.2351
b1587	NA	NA	NA
b1588	NA	NA	NA
b1589	NA	NA	NA
b1590	0.19638	0.0768	0.3911
b1591	0.19576	0.0592	0.3022
b1592	0.10859	0.0482	0.4438
b1593	NA	NA	NA
b1594	0.08471	0.0425	0.5019
b1595	NA	NA	NA
