b_number,Gene.Name,MDS42CDS_length_bp,leftpos_mds42,rightpos_mds42,ave_pos,Strand,dNdS,dN,dS,lin_expression_NRG,protein_sequence_pecentage_difference_NRG,lin_average expression level_Shibai,lin_variance of  expression level_Shibai,lin_ave_M3DB,lin_sd_M3DB,lin_var_M3DB,syn.num,syn.tube,nons.num,nons.tube,inac.num,inac.tube,lin_Mean_Protein_n,lin_SD_Protein_n,lin_Noise_Protein_n,RunmedNoise_protein_n,SmoothSpline_n,SM_n,log10SmoothSpline_n,log10SM_n,lin_ave_protein_copy_schmidt,lin_var_protein_copy_schmidt,RunmedVar_env_protein,SmoothSpline_schmidt,log10SmoothSpline_schmidt,log10SM_schmidt,Essentiality,dN.dS.inter.species,dN.inter.species,dS.inter.species,alpha_max,Odmax,Ins_index_score,1R172,2R172,3R172,4R172,5R172,6R172,1R268,2R268,3R268,4R268,5R268,6R268,ANC,linaveR172,linaveR268
b1027,insE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.326666667,10.48787485,12.388201,14.83385777,17.30454215,10.65822585,16.69358288,13.04297304,13.26592996,11.46264208,17.461462,12.71889665,17.75628627,14.14217396,13.72771408,14.28469833
b1028,ymdE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.44870647,11885.8807,55.34267142,10.59196052,112.1896277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.009501158,0.60824472,0.269005848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1029,ycdU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.8886203,948784.9082,92.46043368,37.99847058,1443.883766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.010243224,0.661431828,0.244174265,12.07418027,10.15754377,10.54624735,10.22466908,10.39535188,10.30352854,10.37323515,9.799424308,10.97778015,10.67901665,11.34802935,10.47011412,10.26294673,10.61692015,10.60793329
b1032,serX,88,940566,940653,940609.5,minus,3.32834,0.1223,0.0368,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1979.512154,1569.903692,1706.374308,9926.364346,2590.143923,3814.499077,2784.863192,1498.629023,1706.374308,4007.921077,4318.225885,4392.450038,1723.104423,3597.799583,3118.077254
b1033,ghrA,939,940887,941825,941356,plus,0.0001,0.0001,0.5575,13.55919962,0.221153846,792.2876659,293340.9492,616.7829123,237.6301637,56468.09458,NA,NA,NA,NA,NA,NA,13.396,8.256,0.36101083,0.175901495,0.189743441,0.171267389,-0.721833227,0.279353457,870.5020555,70381.90765,166393.6778,127431.8283,5.105277914,-0.25781688,2,0.00119,0.142,119.8089,NA,NA,0.151224707,3186.156154,2103.240192,2521.654923,2267.552115,3643.874385,1899.027769,3028.667269,2143.703385,2341.802423,2135.301308,2032.812962,1589.496769,2180.184577,2603.584256,2211.964019
b1034,ycdX,738,941880,942617,942248.5,plus,0.13904,0.0671,0.4825,33.71161446,0.106122449,1048.022916,194850.6222,489.0574054,179.212154,32116.99602,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,210.6490175,4230.982964,9652.461392,9559.961816,3.980456158,-0.354014881,2,0.03974,0.0631,1.5874,0.009678156,0.6152646,0.192411924,4770.324577,3776.527115,3443.499192,3524.411385,4770.324577,3734.969731,5797.060462,3669.529577,4276.900462,3437.866808,3879.5795,3929.166308,3682.484,4003.342763,4165.017186
b1035,ycdY,555,942641,943195,942918,plus,0.10271,0.0316,0.3082,58.11288699,0.135869565,866.3061669,158534.0688,423.6244497,135.0097897,18227.64331,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,384.4343723,22241.47077,30442.07856,29402.53147,4.468384724,-0.121221221,2,0.06795,0.0855,1.2586,0.009623253,0.655014817,0.198198198,2748.9125,1447.572277,2050.5135,2311.902769,2789.697385,2267.552115,2703.563231,1379.993458,2353.849654,1837.152,2356.213115,2518.077077,1938.380577,2269.358424,2191.474756
b1036,ycdZ,492,943297,943788,943542.5,plus,0.10781,0.0409,0.3796,60.50128394,0.101910828,315.8807875,90634.83929,576.522758,530.9297102,281886.3572,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0698,0.0999,1.4314,0.00976116,0.64824168,0.193089431,2966.203654,2532.166731,2641.081154,2417.146615,3710.832346,2448.115154,2667.693885,2389.032808,2530.458885,2193.381692,2914.569808,2781.856,1785.281462,2785.924276,2579.498846
b1037,csgG,834,943852,944685,944268.5,minus,NA,NA,NA,2.614063815,0.039711191,111.3507868,65559.6504,151.7552582,59.61249698,3553.649796,0,0,4,3,0,0,2.845,2.287,0.662251656,0.460829493,0.433647829,0.228603827,-0.362862823,0.183885876,6.222837944,57.25002933,17.43036787,33.16116727,1.520629809,0.237145904,2,0.01749,0.0199,1.1397,0.010125686,0.618866729,0.270983213,95.34107462,116.6083973,100.6745465,79.88628038,164.1917942,142.2088119,85.53511962,182.0605654,89.97743769,80.57358577,90.59389423,156.8148669,125.4290608,116.4851508,114.2592449
b1038,csgF,417,944712,945128,944920,minus,0.03634,0.012,0.329,1,0.101449275,124.9625992,45144.2429,149.1729161,141.0138915,19884.9176,1,1,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.03978,0.0537,1.3502,0.00915417,0.633148761,0.285371703,71.626975,79.88628038,13.71742365,13.09659273,47.54699923,12.90673638,23.44114869,24.81427008,47.54699923,34.52269569,26.17642838,49.11764,123.7977523,39.79683456,34.26986368
b1039,csgE,390,945153,945542,945347.5,minus,0.01304,0.0034,0.2634,1.616806673,0.085271318,155.2578537,52913.55724,64.91667562,49.38771628,2439.146517,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.03267,0.0497,1.5204,0.009511889,0.623859232,0.243589744,99.36134115,203.0363558,41.907665,34.63855612,80.68894769,32.904722,64.79325731,139.3542754,81.59575154,76.54677154,43.22194154,69.99166808,163.0808304,82.08959796,79.2506109
b1040,csgD,651,945547,946197,945872,minus,0.0926,0.0095,0.1027,3.051329359,0.078703704,262.3315734,93513.66128,121.5180352,122.0775452,14902.92704,2,1,4,2,0,0,23.322,11.743,0.25220681,0.163398693,0.169420791,0.082786019,-0.771033296,0.172790105,0.305272676,0.427055811,0.539447803,0.335778463,-0.473947163,0.104431798,2,0.01931,0.0364,1.8853,0.00960529,0.660705061,0.219662058,158.5344219,383.5350846,79.50226923,103.536745,139.3542754,83.47415769,99.80645808,348.5516654,145.7822131,154.8379458,66.76052846,117.9163673,252.2054846,157.9894923,155.6091963
b1041,csgB,456,946952,947407,947179.5,plus,0.32604,0.031,0.095,1,0.178807947,117.2453631,61060.2303,146.066254,71.25190139,5076.833457,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.14524,0.1008,0.6938,0.009843494,0.652445567,0.322368421,28.14030554,48.33920038,25.36645327,30.29668708,30.23805742,23.51355331,24.67254342,27.98691635,29.61906381,27.61707681,32.99594215,39.851825,49.42202077,30.98237617,30.45722792
b1042,csgA,456,947448,947903,947675.5,plus,0.05361,0.0495,0.9225,1.616806673,0.251655629,230.8777865,198385.355,284.364442,159.6901728,25500.95139,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.18217,0.2021,1.1093,0.009711444,0.649736695,0.445175439,141.9030023,272.5285115,80.07554846,251.0205154,147.3066192,190.1105392,124.4705908,332.3597538,137.6919904,143.0880035,119.9273204,283.4221346,186.1395885,180.4907894,190.1599656
b1043,csgC,333,947962,948294,948128,plus,0.64555,0.0794,0.1229,1,0.268518519,78.61340674,24652.52677,57.25350298,22.49336854,505.9516281,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.07576,0.1555,2.0527,NA,NA,0.42042042,27.93110573,34.17385088,17.34278773,17.78498204,11.28066162,12.19828896,10.85173735,13.04297304,50.04515615,38.38820885,31.57165623,26.00580158,28.44239769,20.11861283,28.31758887
b1044,ymdA,312,948415,948726,948570.5,plus,NA,NA,NA,3.462368956,0.578431373,276.6217051,258073.6225,406.2596759,578.785965,334993.1926,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.307692308,76.65731769,65.25846038,67.19481577,209.2108962,120.3544919,84.02035885,96.54455846,33.42121285,139.3542754,144.5044073,99.680805,93.05025,104.9076831,103.7827235,101.0925848
b1045,ymdB,534,948821,949354,949087.5,plus,0.08526,0.0223,0.2615,4.585962561,0.237288136,314.4488241,61380.91413,309.2789622,128.8276917,16596.57414,1,1,4,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,105.9839235,2932.179949,2932.179949,2874.886778,3.458620746,0.008569874,2,0.07319,0.1468,2.0053,0.00941507,0.629200217,0.177902622,483.3791846,442.0518615,939.5544269,441.1544731,619.8974346,652.5265077,502.5694885,483.3791846,1161.875335,476.1094692,683.1465769,573.5697231,684.5244769,596.4273147,646.7749628
b1046,clsC,1422,949356,950777,950066.5,plus,0.08354,0.0348,0.4168,NA,NA,144.2110125,14789.83562,157.2000291,40.3632763,1629.194073,NA,NA,NA,NA,NA,NA,3.143,2.138,0.423728814,0.447427293,0.394280351,0.029448463,-0.404194865,0.031282863,NA,NA,NA,NA,NA,NA,2,0.04015,0.1121,2.7923,NA,NA,0.213783404,218.4688969,297.4349308,423.6378923,307.9662038,296.9324577,238.4787423,225.7843654,406.1851808,476.1094692,296.2006462,343.7156385,232.0445462,507.3899885,297.1531873,330.006641
b1047,opgC,1158,950785,951942,951363.5,minus,0.03528,0.0156,0.4431,24.50697508,0.1796875,160.6250438,18218.98419,174.0354178,65.48088068,4287.745734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04013,0.1139,2.8379,NA,NA,0.329015544,433.8230231,415.3996731,299.3996769,909.157,221.5454538,280.5567115,303.3291385,306.1271038,284.4552808,667.8418885,202.27455,254.6643731,678.7594077,426.6469231,336.4487224
b1048,opgG,1536,952336,953871,953103.5,plus,0.02722,0.007,0.2572,67.86046511,0.062622309,1451.597896,380866.1571,1419.564702,539.2007831,290737.4834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.9255507,45469.52023,134308.8518,112675.9009,5.051831039,-0.394110667,2,0.03076,0.0327,1.0632,NA,NA,0.136067708,4154.424654,4392.450038,3143.890154,4968.292346,6062.465192,6032.602962,4318.225885,4857.206615,3508.548,4163.801962,5904.841038,4554.958154,4040.263846,4792.354224,4551.263609
b1049,opgH,NA,NA,NA,NA,NA,0.02045,0.0112,0.549,39.21421526,0.060212515,681.6639738,162895.0191,420.2486698,155.1622255,24075.31619,NA,NA,NA,NA,NA,NA,30.192,12.654,0.175901495,0.143884892,0.159585831,0.016315664,-0.797005671,0.042275201,73.22324313,674.1240406,1249.235286,1513.713399,3.180043655,-0.35130384,2,0.02708,0.0339,1.2508,NA,NA,0.144261006,309.8852615,774.1176,640.6331192,648.11115,320.5327692,699.8314,310.4036808,663.1765077,377.6169731,992.4360308,510.6167731,746.3552962,296.9324577,565.51855,600.1008769
b1050,yceK,228,956542,956769,956655.5,plus,0.3342,1.4341,4.291,5.270337213,0.12,569.3182346,3207439.217,329.584874,301.2008518,90721.95332,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02468,0.0757,3.0669,0.009085256,0.635508994,0.206140351,275.8588881,282.1856462,354.2824923,408.1902308,284.9724462,366.1050038,284.4552808,273.08305,498.5388154,281.1759577,224.6254577,365.3352269,392.4742115,328.5991179,321.2022981
b1051,msyB,375,956770,957144,956957,minus,0.18042,0.0453,0.2509,9.820774916,0.072580645,1450.529999,2435255.736,2285.086171,2283.454101,5214162.609,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6380.830663,6100110.196,9677283.549,7552335.923,6.878081299,-0.092743618,2,0.01028,0.037,3.5975,0.008777856,0.603160394,0.122666667,515.1169846,507.3899885,1812.3465,1276.443658,996.9539885,647.4956,606.8779731,571.6936038,3863.763808,532.6288769,529.7947308,775.2187577,2100.827346,959.2911199,1146.662958
b1053,mdtG,1227,957227,958453,957840,minus,0.03049,0.0141,0.4621,2.614063815,0.099009901,328.4266323,150961.1543,146.3490879,52.75029955,2782.594103,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0195,0.0653,3.3501,0.009829458,0.628415311,0.143439283,161.4840881,175.3760923,339.8817038,151.5494823,50.81796192,60.01862423,215.3269577,105.4476265,309.4568423,167.3549123,95.07362154,72.83524885,112.1085877,156.5213254,160.9158682
b1054,waaM,921,958625,959545,959085,minus,0.09939,0.0205,0.2058,NA,NA,645.7757954,138589.2138,552.1647059,170.8499803,29189.71587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981299747,7.454691766,1.600903174,1.826552545,0.26163217,0.610797521,2,0.06566,0.0953,1.4517,0.010338368,0.643614096,NA,789.3084654,1035.485308,1128.951815,2028.9285,1171.59785,791.0476308,847.4848962,1011.415015,1116.619085,1488.719558,1276.443658,834.7542,735.3719423,1157.553262,1095.906069
b1055,yceA,1053,959770,960822,960296,plus,0.07578,0.0425,0.5609,55.09407165,0.111428571,842.2642415,439638.7972,450.2750062,256.6200669,65853.85845,1,1,0,0,0,0,36.831,20.482,0.308641975,0.169779287,0.152852113,0.155789862,-0.815728553,0.305183542,27.51415091,1558.606748,287.6635966,343.710054,2.536192236,0.656544316,2,0.03558,0.0661,1.8584,0.010487519,0.692105382,0.181386515,2712.930308,2855.945923,1295.079115,4111.293808,2721.541423,2515.862308,1802.689885,1545.534962,1698.227192,1924.198654,2030.954115,2270.907192,3320.996769,2702.108814,1878.752
b1056,yceI,576,960864,961439,961151.5,minus,0.09834,0.0467,0.4744,11.04817294,0.089005236,440.2442841,90521.277,184.4612394,106.5606503,11355.17219,0,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1166.041102,217841.4998,182059.2843,237098.3225,5.374928481,-0.036787863,2,0.02655,0.0444,1.6731,NA,NA,0.293402778,1097.61415,1987.274462,763.8539846,2914.569808,3351.344115,986.2042577,760.8152538,1533.222231,1201.318392,1517.394962,1561.842192,1172.804685,3479.452346,1850.143463,1291.232953
b1057,yceJ,567,961443,962009,961726,minus,0.20897,0.0537,0.2569,4.226435819,0.228723404,243.7888232,27591.34121,217.2547289,59.60703714,3552.998881,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.07085,0.1432,2.0212,0.009858057,0.50188407,0.310405644,149.1560988,390.5730538,133.0675123,510.6167731,466.7477654,140.3801442,147.9378881,331.8705962,192.2013192,338.2635769,293.0553,182.4162846,484.0907923,298.4235579,247.6241608
b1058,yceO,141,962270,962410,962340,minus,0.04604,2.1296,46.255,NA,NA,108.3073184,57373.19176,24.98641212,11.10521414,123.3257809,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.00161,0.2097,130.3807,0.009796378,0.615152198,0.170212766,156.8148669,107.2398169,107.6405577,77.74726731,86.28847962,61.69595923,134.9416973,12.19828896,221.5454538,85.36597962,110.0786965,127.3755546,251.0205154,99.57115795,115.2509451
b1059,solA,1119,962431,963549,962990,minus,0.10064,0.0426,0.4237,24.16956914,0.153638814,685.886865,118765.6804,224.4130711,65.92968313,4346.723118,3,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,474.2055689,27573.87401,58162.1716,46636.91502,4.668729815,-0.228232028,2,0.03514,0.0903,2.5707,0.00906117,0.700347912,0.232350313,661.9620615,468.9124808,564.4997077,296.6614846,1393.5865,790.0206154,604.7679154,440.12195,522.5553,280.5567115,943.9462808,1007.5349,1073.227192,695.940475,633.2471763
b1060,bssS,255,963664,963918,963791,minus,0.29333,0.0158,0.0539,36.57933268,0.05952381,1489.691343,6007054.083,1112.824037,1738.06312,3020863.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.03883,0.0264,0.6798,NA,NA,0.356862745,1337.749419,2045.426385,1185.447815,2056.629731,1077.25685,3079.619923,1126.642835,4105.566,1320.774865,2047.617538,3676.335962,2703.563231,1417.875446,1797.021687,2496.750072
b1061,dinI,246,964205,964450,964327.5,minus,0.03636,0.0061,0.1669,26.00073256,0.148148148,788.8600322,530948.6697,1098.024354,1387.149537,1924183.847,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,59.77417915,3726.329396,749.4431251,1066.983971,3.028157895,0.543123347,2,0.04859,0.091,1.8732,0.010095918,0.63098996,0.231707317,2112.261769,1360.258719,1132.079938,6898.344846,1325.85495,499.9690846,1548.516731,876.4282692,1493.277,2852.219692,1303.56955,420.1224846,2585.543038,2221.461551,1415.688954
b1062,pyrC,1047,964524,965570,965047,minus,0.05487,0.0326,0.5942,22.79838156,0.114942529,1010.304504,591572.0259,547.8655817,534.415099,285599.4975,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3277.111445,1628414.329,1628414.329,1901551.584,6.279108111,-0.067343196,2,0.05293,0.0637,1.2031,NA,NA,0.156638013,3236.282308,2118.620077,1710.117538,4576.437,2094.233077,1410.187808,1990.049962,1051.976804,2732.532923,2500.496808,1198.681877,929.7724615,4372.5985,2524.312968,1733.918472
b1063,yceB,561,965676,966236,965956,minus,0.13135,0.0337,0.2566,14.42148279,0.11827957,403.120655,38903.41168,472.5094738,145.5403046,21181.98027,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,350.2724138,17359.09856,19087.77474,23525.81953,4.371544761,-0.132017592,2,0.04131,0.0659,1.5954,NA,NA,0.158645276,1203.006496,600.6420269,852.8985808,933.7827269,1095.528412,1600.039731,1038.133188,1183.712415,1109.240012,1009.780773,2686.370423,1014.41105,1569.903692,1047.649662,1340.274644
b1064,grxB,648,966370,967017,966693.5,minus,0.10295,0.0233,0.2264,14.42148279,0.139534884,1656.18349,1720913.256,1134.906812,830.4659967,689673.7716,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2711.977037,2450885.87,857599.1598,1269556.374,6.10365199,0.285671098,2,0.05149,0.0803,1.5595,0.00991818,0.646887087,0.151234568,1019.029642,239.6038231,876.4282692,1105.55255,1821.232892,1159.517792,1303.56955,270.7236962,1232.722523,1011.415015,1279.979877,1384.509035,1652.522731,1036.894162,1080.486616
b1065,mdtH,1209,967081,968289,967685,minus,0.01906,0.008,0.4197,1,0.077114428,183.4316092,44332.6605,286.4072497,76.41014589,5838.510401,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02178,0.0443,2.0342,0.004828445,0.173657294,0.17617866,270.3050538,126.0357458,54.074335,74.75461615,196.4765154,273.7626423,286.8918615,76.54677154,52.611105,133.9029362,870.3180962,208.7663577,87.99651115,165.9014847,271.506188
b1066,rimJ,585,968525,969109,968817,plus,0.05103,0.0096,0.1875,23.14453212,0.046391753,956.6512251,116570.428,978.9725869,488.6052589,238735.0981,1,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,105.4977553,2200.273461,2932.179949,2852.391764,3.455209174,-0.112732513,2,0.01978,0.0261,1.3206,0.010086993,0.649912451,0.258119658,2004.198538,1533.222231,1071.003504,1659.613,1703.628308,1872.510269,2273.545269,1565.022538,1496.663188,1641.303577,1337.749419,2069.899269,1530.831731,1640.695975,1730.69721
b1067,yceH,648,969120,969767,969443.5,plus,0.1275,0.0564,0.4421,22.27474196,0.139534884,713.0483545,134198.3259,874.1934021,350.0198247,122513.8777,2,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,772.9028902,23364.61864,89607.39109,102061.3244,5.0088612,-0.640302503,2,0.05844,0.091,1.5571,NA,NA,0.151234568,1299.792565,850.9250346,648.11115,956.0814731,1426.468381,1356.525558,1428.33245,837.3698346,778.3843115,945.3058692,1068.780392,1265.750104,884.5748231,1089.650694,1053.98716
b1068,yceM,924,969769,970692,970230.5,plus,0.13272,0.0697,0.5255,8.521116367,0.182410423,480.4473641,70070.7905,320.4749211,95.08478726,9041.116759,NA,NA,NA,NA,NA,NA,17.7,6.851,0.15600624,0.199004975,0.179841067,-0.023834827,-0.74511113,-0.061746901,37.29568119,289.1073223,719.9598137,494.3523229,2.694036579,-0.232977488,2,0.07161,0.1094,1.5272,NA,NA,0.159090909,954.4848769,551.8993038,501.2907692,814.7853423,1017.656538,1051.976804,987.44795,611.3446308,603.9404962,827.1220577,977.4180192,1086.745762,611.3446308,815.3489391,849.0031526
b1069,murJ,1536,970802,972337,971569.5,plus,0.03745,0.0186,0.4955,16.68457475,0.058708415,375.3715952,96387.22943,373.635315,85.02640174,7229.488986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.02414,0.0328,1.3591,0,0,0.00390625,690.8107077,847.4848962,783.7463692,833.47425,983.0872962,929.7724615,566.5231846,867.0151538,623.9428154,688.4642269,471.9738654,909.157,652.5265077,844.7293301,687.846041
b1070,flgN,NA,NA,NA,NA,NA,NA,NA,NA,3.462368956,0.188405797,543.4556397,843773.1861,1255.952714,1671.392292,2793552.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.05493,0.1271,2.313,0.010054961,0.668448867,0.165467626,24.81427008,26.54130835,22.55357796,26.89760819,29.51257158,34.79880373,32.29943496,47.06841192,21.97967996,22.26429335,26.29391146,25.05050742,21.50596846,27.51968998,29.15937318
b1071,flgM,NA,NA,NA,NA,NA,0.19906,0.0833,0.4186,3.852807616,0.195876289,757.9355211,1667996.039,1404.944713,1834.242563,3364445.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.37648332,477.8654373,373.4590478,381.53123,2.581530093,0.097775528,2,0.08845,0.1302,1.4718,0.009070868,0.532084732,0.12244898,19.13025888,23.10608346,31.11889988,22.96887985,25.80383269,35.55107523,20.40978492,24.49680215,27.07814715,25.05050742,27.38614915,28.05426123,28.86252773,26.27983833,25.41260867
b1072,flgA,NA,NA,NA,NA,NA,0.13511,0.0758,0.5611,1.616806673,0.287671233,533.9816021,793959.3984,756.2962504,827.3744941,684548.5508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.09953,0.2162,2.1724,0.009893662,0.642625818,0.145454545,17.02032692,15.37817985,17.37362662,27.57869088,27.11557504,37.61852923,22.67011177,39.09300508,17.22742704,23.94072612,17.09099358,18.61066358,23.26911146,23.68082142,23.10548786
b1073,flgB,NA,NA,NA,NA,NA,0.1375,0.0376,0.2736,3.852807616,0.188405797,926.5453312,2762986.768,1003.391567,1442.295666,2080216.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.05235,0.0965,1.8425,0.009993585,0.671238657,0.158273381,18.99058735,19.57788662,23.10608346,25.55079715,21.27663515,23.87258735,19.54781454,18.24866323,15.09486138,18.11444019,20.00057558,13.55142565,16.18411015,22.06242951,17.42629676
b1074,flgC,NA,NA,NA,NA,NA,0.03323,0.0112,0.3364,4.226435819,0.059701493,836.8943541,1665743.537,1538.013511,2059.314411,4240775.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.01768,0.0397,2.2443,0.009985319,0.671189251,0.192592593,13.28312023,20.7857865,36.87676923,31.32890088,23.84962715,33.85789004,20.47420085,35.52086469,18.13501319,20.23798696,13.22763773,29.74444738,23.87258735,26.66368234,22.89002513
b1075,flgD,NA,NA,NA,NA,NA,0.07942,0.0371,0.4673,3.051329359,0.155844156,690.9711425,1737497.122,1673.252967,2255.915375,5089154.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04209,0.0865,2.0553,0.009896128,0.583668304,0.162356322,10.98686415,15.89840931,30.51120485,33.82291085,26.5092525,46.77579308,28.28167073,38.63517462,12.58901796,18.78800835,10.52426027,26.5092525,25.97096069,27.41740579,22.55456407
b1076,flgE,NA,NA,NA,NA,NA,0.01601,0.0053,0.3313,4.226435819,0.112219451,1431.467084,7887766.304,1215.760337,1724.898334,2975274.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.83300668,419.0077756,419.0077756,279.8770495,2.446967287,0.175254795,2,0.04478,0.078,1.7423,0.010437873,0.661560311,0.147229115,12.764258,22.51393131,19.13025888,15.20266142,15.76115754,19.44848227,23.98108908,26.39990715,11.53473631,20.09811827,21.75906492,19.38747319,17.78498204,17.4701249,20.52673149
b1077,flgF,NA,NA,NA,NA,NA,0.14002,0.0786,0.5615,2.614063815,0.131474104,263.6390652,211267.4615,1250.32653,1582.511616,2504343.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04442,0.0731,1.6456,0.008478678,0.576694842,0.146825397,11.91987527,26.23087785,43.39116385,56.71473885,46.32228577,69.38745269,44.70074154,117.3333431,20.51763738,23.1234925,26.08808354,38.18472,33.34627969,42.32773238,44.99133634
b1078,flgG,NA,NA,NA,NA,NA,0.01835,0.009,0.4887,3.051329359,0.007692308,625.236632,1241387.374,1123.549378,1501.678981,2255039.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.00383,0.0035,0.9213,0.009769423,0.644517723,0.148148148,15.39487535,28.49422592,40.24977231,58.15952038,55.66704346,76.65731769,46.88763538,115.5034354,24.78256812,30.98319227,26.65726323,36.78266665,43.45982923,45.77045919,46.93279351
b1079,flgH,NA,NA,NA,NA,NA,0.04845,0.0144,0.2982,2.141486064,0.090517241,267.9164833,285419.6308,399.9958516,462.5963914,213995.4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.420236264,27.57364992,29.17930622,27.61891007,1.441206536,-0.000712278,2,0.04117,0.054,1.3116,0.009455133,0.651355128,0.153075823,14.59968423,10.63642123,12.36861896,23.18620135,11.91987527,21.50596846,11.83870258,19.03060019,16.33039912,17.64930881,13.40175581,12.90673638,13.1165255,15.70279492,15.19291715
